epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8539,0.67644,0.47672,0.96947,0.97186,0.97075,0.98986,0.8474,0.61699,0.42068,0.92813,0.000545564,0.000545564,0.000545564
2,40.7441,0.67921,0.4679,0.96275,0.87791,0.88015,0.95196,0.69855,0.91367,0.6453,1.21176,0.00107943,0.00107943,0.00107943
3,59.9601,0.69942,0.49467,0.96437,0.95741,0.96034,0.985,0.812,0.70565,0.46804,0.96376,0.00159128,0.00159128,0.00159128
4,78.2228,0.72291,0.5035,0.97813,0.97476,0.96618,0.99018,0.80275,0.74296,0.47471,0.98799,0.00156798,0.00156798,0.00156798
5,97.3435,0.70421,0.49301,0.9736,0.96996,0.96952,0.98967,0.82798,0.65213,0.43192,0.94349,0.00153497,0.00153497,0.00153497
6,115.995,0.7057,0.48527,0.97336,0.9696,0.97229,0.98759,0.8096,0.71668,0.45821,0.99729,0.00150197,0.00150197,0.00150197
7,134.242,0.69167,0.49233,0.97951,0.86336,0.89503,0.94133,0.71776,0.79763,0.59987,1.06157,0.00146896,0.00146896,0.00146896
8,153.113,0.69702,0.48007,0.9728,0.95014,0.96228,0.98197,0.81064,0.67083,0.48685,0.95653,0.00143595,0.00143595,0.00143595
9,171.881,0.68253,0.48348,0.96983,0.93694,0.90955,0.97558,0.74554,0.85372,0.56777,1.15731,0.00140295,0.00140295,0.00140295
10,190.384,0.68253,0.47319,0.97258,0.96637,0.97326,0.99148,0.8363,0.65872,0.43425,0.95,0.00136994,0.00136994,0.00136994
11,209.051,0.66504,0.46073,0.96052,0.97623,0.97383,0.98962,0.83089,0.65494,0.40547,0.95395,0.00133693,0.00133693,0.00133693
12,227.644,0.66557,0.45957,0.9643,0.97989,0.97511,0.99035,0.83297,0.66647,0.43567,0.94506,0.00130393,0.00130393,0.00130393
13,245.929,0.66088,0.45816,0.9557,0.95742,0.96189,0.98787,0.82539,0.67485,0.44928,0.97665,0.00127092,0.00127092,0.00127092
14,264.638,0.65169,0.45106,0.95503,0.96733,0.96805,0.98872,0.8191,0.6617,0.45579,0.9643,0.00123791,0.00123791,0.00123791
15,283.433,0.63859,0.43492,0.95649,0.97724,0.9753,0.98899,0.83043,0.65508,0.42014,0.94358,0.00120491,0.00120491,0.00120491
16,301.896,0.63499,0.4525,0.95222,0.97136,0.97897,0.98961,0.82436,0.64451,0.39671,0.94733,0.0011719,0.0011719,0.0011719
17,320.61,0.65215,0.44952,0.95253,0.98124,0.96921,0.99157,0.82762,0.67931,0.42145,0.95427,0.00113889,0.00113889,0.00113889
18,339.48,0.62697,0.43007,0.9444,0.83238,0.78751,0.8513,0.59538,1.02441,0.91395,1.37185,0.00110589,0.00110589,0.00110589
19,357.936,0.61789,0.43019,0.93937,0.97951,0.96805,0.98982,0.83594,0.64431,0.38665,0.9382,0.00107288,0.00107288,0.00107288
20,376.299,0.6129,0.42434,0.94646,0.97586,0.98022,0.99202,0.84474,0.61453,0.39357,0.9336,0.00103987,0.00103987,0.00103987
21,395.277,0.6026,0.41817,0.94001,0.97831,0.97652,0.99193,0.84771,0.62878,0.39238,0.93365,0.00100687,0.00100687,0.00100687
22,414.075,0.60932,0.41809,0.94113,0.97999,0.98023,0.99261,0.84728,0.63809,0.37113,0.93654,0.000973861,0.000973861,0.000973861
23,432.47,0.59827,0.40608,0.93901,0.98451,0.98075,0.99186,0.84744,0.61289,0.3648,0.93398,0.000940855,0.000940855,0.000940855
24,451.86,0.5892,0.40126,0.93033,0.97977,0.98114,0.99131,0.84863,0.62218,0.37458,0.94688,0.000907848,0.000907848,0.000907848
25,470.399,0.58185,0.40207,0.93715,0.98761,0.98213,0.99255,0.85476,0.60736,0.35613,0.93352,0.000874842,0.000874842,0.000874842
26,489.409,0.58803,0.40154,0.93922,0.98282,0.98152,0.99157,0.85839,0.60258,0.35363,0.92834,0.000841835,0.000841835,0.000841835
27,509.229,0.59443,0.41194,0.9371,0.97771,0.98229,0.99073,0.85389,0.60592,0.36293,0.92452,0.000808828,0.000808828,0.000808828
28,527.661,0.57842,0.39575,0.93252,0.98119,0.98395,0.99125,0.85894,0.60288,0.34665,0.91946,0.000775822,0.000775822,0.000775822
29,546.726,0.57086,0.39031,0.93194,0.98138,0.97372,0.9923,0.84719,0.62494,0.37559,0.94148,0.000742815,0.000742815,0.000742815
30,565.384,0.56012,0.38517,0.9296,0.98413,0.98576,0.99129,0.85706,0.60605,0.3532,0.92406,0.000709809,0.000709809,0.000709809
31,583.649,0.56023,0.37956,0.92674,0.97624,0.97998,0.99247,0.85631,0.59302,0.35798,0.92608,0.000676802,0.000676802,0.000676802
32,602.58,0.57198,0.3818,0.92511,0.98312,0.98614,0.99285,0.866,0.58924,0.34475,0.92304,0.000643795,0.000643795,0.000643795
33,621.826,0.56612,0.3708,0.92329,0.97857,0.98414,0.9932,0.85798,0.61157,0.33875,0.9347,0.000610789,0.000610789,0.000610789
34,640.15,0.55462,0.37219,0.9174,0.98283,0.98691,0.99256,0.86863,0.58573,0.33266,0.91737,0.000577782,0.000577782,0.000577782
35,659.315,0.54035,0.36445,0.92916,0.98158,0.98614,0.99304,0.86626,0.58588,0.33929,0.9182,0.000544776,0.000544776,0.000544776
36,677.831,0.5301,0.35787,0.91054,0.98535,0.98401,0.99326,0.86929,0.57932,0.33563,0.91666,0.000511769,0.000511769,0.000511769
37,696.565,0.52646,0.35561,0.91875,0.98012,0.9867,0.99256,0.8692,0.58607,0.33759,0.92321,0.000478762,0.000478762,0.000478762
38,716.179,0.52704,0.36069,0.92055,0.98937,0.98691,0.99396,0.8765,0.57219,0.33017,0.91986,0.000445756,0.000445756,0.000445756
39,734.796,0.52732,0.34901,0.91215,0.98526,0.98807,0.99301,0.86628,0.58729,0.32879,0.92143,0.000412749,0.000412749,0.000412749
40,753.311,0.52858,0.35902,0.91803,0.9853,0.98691,0.99354,0.87035,0.57566,0.33043,0.91933,0.000379743,0.000379743,0.000379743
41,774.279,0.59869,0.39529,0.95428,0.98019,0.9902,0.99366,0.86532,0.5761,0.33472,0.91749,0.000346736,0.000346736,0.000346736
42,792.349,0.58459,0.34528,0.93771,0.98652,0.98807,0.99327,0.87197,0.56701,0.32206,0.90502,0.000313729,0.000313729,0.000313729
43,810.256,0.57513,0.33992,0.9351,0.9888,0.99115,0.99399,0.87559,0.56838,0.32233,0.90442,0.000280723,0.000280723,0.000280723
44,829.367,0.55436,0.32334,0.92677,0.98922,0.98905,0.99396,0.88871,0.5312,0.31436,0.89514,0.000247716,0.000247716,0.000247716
45,847.786,0.55448,0.32462,0.9275,0.99002,0.99307,0.9942,0.8897,0.52601,0.30174,0.89315,0.00021471,0.00021471,0.00021471
46,866.052,0.53851,0.3135,0.92025,0.99124,0.99307,0.99453,0.8941,0.52424,0.2994,0.89135,0.000181703,0.000181703,0.000181703
47,885.768,0.53756,0.30727,0.91179,0.99014,0.99153,0.99448,0.89395,0.52108,0.29313,0.89026,0.000148696,0.000148696,0.000148696
48,903.654,0.53203,0.30421,0.92482,0.9897,0.99153,0.99456,0.89692,0.5151,0.29016,0.88949,0.00011569,0.00011569,0.00011569
49,921.867,0.52062,0.30322,0.91386,0.98918,0.99423,0.99449,0.89912,0.50718,0.28775,0.88567,8.26832e-05,8.26832e-05,8.26832e-05
50,941.208,0.5187,0.30188,0.91367,0.99118,0.9923,0.99449,0.90012,0.50752,0.2872,0.88479,4.96766e-05,4.96766e-05,4.96766e-05
