epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4485,1.14903,1.23318,1.46661,0.8014,0.88392,0.92706,0.70664,0.73548,0.70937,1.09079,1.667e-05,1.667e-05,1.667e-05
2,72.9151,1.20012,1.09806,1.46044,0.86242,0.92381,0.95691,0.77343,0.62154,0.56456,1.01167,4.90198e-05,4.90198e-05,4.90198e-05
3,104.694,1.01268,1.02011,1.30694,0.90078,0.95109,0.97152,0.80255,0.5898,0.48315,0.98173,8.00493e-05,8.00493e-05,8.00493e-05
4,137.54,0.81523,0.74361,1.15891,0.8396,0.99708,0.95404,0.76547,0.65304,0.48912,1.00599,0.000109759,0.000109759,0.000109759
5,168.428,0.78127,0.72932,1.17158,0.83742,0.9619,0.94133,0.73075,0.71057,0.54552,0.9976,0.000138148,0.000138148,0.000138148
6,198.967,0.73721,0.62283,1.10645,0.83785,0.93504,0.93486,0.70089,0.76647,0.58394,0.99376,0.000165216,0.000165216,0.000165216
7,229.004,0.70709,0.6288,1.10475,0.84707,0.89682,0.9394,0.70059,0.79864,0.62257,1.02545,0.000190965,0.000190965,0.000190965
8,259.73,0.63317,0.47774,1.03843,0.8794,0.83334,0.92383,0.68674,0.78992,0.68759,1.03163,0.000215393,0.000215393,0.000215393
9,290.713,0.73052,0.55019,1.10941,0.84321,0.86667,0.92104,0.69484,0.7615,0.66665,1.0385,0.000238501,0.000238501,0.000238501
10,321.286,0.66293,0.506,1.05548,0.87209,0.91429,0.94769,0.7278,0.72127,0.63417,1.03861,0.000260289,0.000260289,0.000260289
11,351.986,0.62688,0.53381,1.04242,0.90963,0.90476,0.96539,0.77321,0.69081,0.56798,1.03759,0.000280756,0.000280756,0.000280756
12,382.67,0.551,0.48978,1.01912,0.87502,0.93347,0.97307,0.79531,0.65062,0.52928,1.02001,0.000299903,0.000299903,0.000299903
13,413.008,0.57642,0.46255,1.01874,0.92666,0.94286,0.98152,0.81411,0.63023,0.51704,1.00007,0.00031773,0.00031773,0.00031773
14,445.161,0.57836,0.45305,1.016,0.95117,0.9277,0.98524,0.82301,0.63055,0.52179,0.99416,0.000334237,0.000334237,0.000334237
15,476.169,0.59,0.52296,1.03345,0.9165,0.94083,0.98011,0.82444,0.62549,0.52228,0.99561,0.000349423,0.000349423,0.000349423
16,506.613,0.50193,0.42693,0.99893,0.88186,0.92381,0.96794,0.8157,0.64681,0.53465,1.01508,0.000363289,0.000363289,0.000363289
17,538.313,0.48957,0.41629,0.98131,0.90058,0.8627,0.95623,0.7882,0.66462,0.58614,1.037,0.000375835,0.000375835,0.000375835
18,570.578,0.51902,0.44749,0.99343,0.89301,0.8744,0.95466,0.77675,0.68275,0.64518,1.05353,0.000387061,0.000387061,0.000387061
19,601.658,0.5113,0.46623,0.97699,0.8853,0.88212,0.94279,0.75536,0.68642,0.70305,1.0576,0.000396966,0.000396966,0.000396966
20,632.101,0.50523,0.47138,0.98085,0.84201,0.88571,0.93398,0.74235,0.72531,0.76418,1.07701,0.000405551,0.000405551,0.000405551
21,662.727,0.47684,0.3757,0.96117,0.91011,0.8678,0.95342,0.72446,0.80585,0.83747,1.10028,0.000412816,0.000412816,0.000412816
22,693.574,0.50112,0.41238,0.95484,0.93634,0.87619,0.9443,0.69297,0.84284,0.83922,1.10397,0.00041876,0.00041876,0.00041876
23,725.523,0.51845,0.39879,1.00152,0.94101,0.91149,0.97054,0.72602,0.86614,0.80974,1.10227,0.000423385,0.000423385,0.000423385
24,757.643,0.50774,0.41607,0.99617,0.93311,0.93006,0.97145,0.72031,0.87713,0.76408,1.10197,0.000426689,0.000426689,0.000426689
25,788.416,0.4866,0.41383,0.96894,0.95193,0.9431,0.98191,0.7496,0.82415,0.72752,1.07679,0.000428672,0.000428672,0.000428672
26,821.49,0.46615,0.38164,0.98066,0.98306,0.98095,0.99452,0.81931,0.64849,0.53706,0.9894,0.000429336,0.000429336,0.000429336
27,851.609,0.44612,0.37197,0.94641,0.97218,0.9986,0.99453,0.8744,0.50975,0.41046,0.92197,0.000428679,0.000428679,0.000428679
28,882.296,0.51851,0.42229,0.98509,0.97218,0.9986,0.99453,0.8744,0.50975,0.41046,0.92197,0.000426702,0.000426702,0.000426702
29,912.647,0.44101,0.37169,0.93414,0.99055,0.99861,0.99462,0.91163,0.4373,0.33924,0.88247,0.000423405,0.000423405,0.000423405
30,943.283,0.46715,0.37536,0.92829,0.98958,1,0.995,0.92513,0.39072,0.30322,0.85524,0.000418787,0.000418787,0.000418787
31,978.229,0.50057,0.36023,0.97145,0.98958,1,0.995,0.92513,0.39072,0.30322,0.85524,0.000412849,0.000412849,0.000412849
32,1009.57,0.46025,0.39493,0.94526,0.98946,1,0.995,0.93692,0.37608,0.28827,0.84371,0.000405591,0.000405591,0.000405591
33,1040.68,0.46628,0.38747,0.98244,1,0.99459,0.995,0.94022,0.36229,0.27746,0.83518,0.000397013,0.000397013,0.000397013
34,1071.62,0.40588,0.35473,0.93729,1,0.99459,0.995,0.94022,0.36229,0.27746,0.83518,0.000387114,0.000387114,0.000387114
35,1101.96,0.45432,0.36922,0.96679,0.99737,1,0.995,0.93943,0.35556,0.27502,0.82665,0.000375895,0.000375895,0.000375895
36,1131.58,0.43767,0.35105,0.93975,0.99622,1,0.995,0.94198,0.34881,0.27484,0.81934,0.000363356,0.000363356,0.000363356
37,1162.9,0.42177,0.34272,0.93828,0.99622,1,0.995,0.94198,0.34881,0.27484,0.81934,0.000349497,0.000349497,0.000349497
38,1194.15,0.39895,0.34312,0.89342,0.99763,1,0.995,0.9414,0.34238,0.27001,0.81381,0.000334317,0.000334317,0.000334317
39,1224.62,0.44592,0.36552,0.94088,0.98844,1,0.99491,0.94098,0.33264,0.26639,0.80935,0.000317817,0.000317817,0.000317817
40,1254.77,0.39993,0.33136,0.92165,0.98844,1,0.99491,0.94098,0.33264,0.26639,0.80935,0.000299997,0.000299997,0.000299997
41,1284.91,0.46376,0.40183,0.932,0.98752,1,0.99491,0.94175,0.32626,0.26236,0.80609,0.000280856,0.000280856,0.000280856
42,1315.66,0.41924,0.36733,0.86831,0.98121,0.99481,0.9949,0.946,0.32684,0.25866,0.80439,0.000260395,0.000260395,0.000260395
43,1346.99,0.35732,0.28877,0.88964,0.98121,0.99481,0.9949,0.946,0.32684,0.25866,0.80439,0.000238614,0.000238614,0.000238614
44,1378.32,0.38332,0.33483,0.89942,0.98038,1,0.99481,0.95237,0.32624,0.2608,0.80187,0.000215513,0.000215513,0.000215513
45,1409.31,0.3655,0.30728,0.85234,0.98038,1,0.99481,0.95237,0.32624,0.2608,0.80187,0.000191092,0.000191092,0.000191092
46,1439.7,0.41035,0.34442,0.87764,0.98129,0.999,0.99481,0.95102,0.32495,0.26306,0.79986,0.00016535,0.00016535,0.00016535
47,1470.51,0.35756,0.29591,0.91067,0.98129,0.999,0.99481,0.95102,0.32495,0.26306,0.79986,0.000138288,0.000138288,0.000138288
48,1501.19,0.38652,0.33045,0.88119,0.98127,0.9978,0.99481,0.95223,0.3227,0.26295,0.79781,0.000109905,0.000109905,0.000109905
49,1533.87,0.38761,0.30262,0.88837,0.98127,0.9978,0.99481,0.95223,0.3227,0.26295,0.79781,8.02027e-05,8.02027e-05,8.02027e-05
