epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3592,0.87343,4.84454,0.90474,0.00705,1,0.20982,0.12056,0.54567,6.44193,0.64748,0.000660317,0.000660317,0.000660317
2,89.0173,0.69948,4.22388,0.8462,0.30574,0.66057,0.30272,0.21108,0.50558,7.18665,0.62025,0.00131385,0.00131385,0.00131385
3,133.49,0.75481,4.26569,0.82938,0.0181,1,0.25065,0.18572,0.49355,5.94267,0.62113,0.00195418,0.00195418,0.00195418
4,178.048,0.6079,4.29866,0.69744,0.00908,1,0.29393,0.20335,0.54937,5.58163,0.63445,0.0019406,0.0019406,0.0019406
5,223.001,0.69293,4.04583,0.77619,0.44879,0.11712,0.31622,0.20054,0.55742,5.76349,0.63709,0.0019208,0.0019208,0.0019208
6,267.504,0.64534,3.87891,0.74751,0.39998,0.17717,0.34565,0.23282,0.54505,5.24009,0.63556,0.001901,0.001901,0.001901
7,311.613,0.72731,3.61414,0.85347,0.00705,1,0.32611,0.22959,0.46498,4.98843,0.60102,0.0018812,0.0018812,0.0018812
8,356.237,0.66671,3.68015,0.785,0.00705,1,0.35827,0.22032,0.50341,4.96805,0.62495,0.0018614,0.0018614,0.0018614
9,401.194,0.64842,3.37631,0.753,0.4254,0.19369,0.33733,0.20627,0.54927,4.91758,0.6483,0.0018416,0.0018416,0.0018416
10,445.567,0.69819,3.39915,0.79446,0.43785,0.14385,0.32002,0.22708,0.44738,4.62757,0.58254,0.0018218,0.0018218,0.0018218
11,489.923,0.59284,3.28442,0.73375,0.56045,0.10914,0.40308,0.28231,0.42738,4.44329,0.57154,0.001802,0.001802,0.001802
12,535.118,0.53912,3.23421,0.67181,0.35631,0.77928,0.46535,0.37601,0.36318,4.22414,0.54448,0.0017822,0.0017822,0.0017822
13,579.521,0.54842,3.10817,0.69876,0.24528,0.96396,0.4647,0.3687,0.38931,4.00255,0.56125,0.0017624,0.0017624,0.0017624
14,623.82,0.70719,2.93493,0.85378,0.49834,0.15215,0.42824,0.32631,0.4435,3.90506,0.58743,0.0017426,0.0017426,0.0017426
15,668.336,0.62702,3.02995,0.75241,0.60791,0.15315,0.46152,0.33655,0.47721,3.71899,0.58922,0.0017228,0.0017228,0.0017228
16,712.526,0.61407,2.94024,0.71926,0.59313,0.11261,0.42614,0.31504,0.41426,3.63259,0.57364,0.001703,0.001703,0.001703
17,756.96,0.56921,2.80079,0.74259,0.54923,0.12076,0.33499,0.25172,0.36572,3.52434,0.55371,0.0016832,0.0016832,0.0016832
18,801.12,0.53347,2.88781,0.63879,0.4194,0.13063,0.42042,0.33548,0.39131,3.33523,0.55232,0.0016634,0.0016634,0.0016634
19,846.01,0.63004,2.6808,0.79422,0.65752,0.43241,0.57047,0.46144,0.38228,3.48184,0.53798,0.0016436,0.0016436,0.0016436
20,890.595,0.6126,2.65038,0.75553,0.54204,0.58113,0.6136,0.48563,0.36532,3.54644,0.53451,0.0016238,0.0016238,0.0016238
21,934.718,0.54682,2.63298,0.72684,0.74192,0.32883,0.6342,0.51995,0.35504,3.03134,0.53587,0.001604,0.001604,0.001604
22,978.877,0.49397,2.60288,0.62979,0.77879,0.12162,0.55523,0.46925,0.33628,2.82775,0.51943,0.0015842,0.0015842,0.0015842
23,1024.82,0.51739,2.49892,0.69581,0.47354,0.13778,0.51043,0.43211,0.33416,2.7893,0.51946,0.0015644,0.0015644,0.0015644
24,1072.01,0.51764,2.52709,0.67221,0.50989,0.20621,0.52219,0.44032,0.34958,2.84374,0.51863,0.0015446,0.0015446,0.0015446
25,1116.15,0.44226,2.48752,0.56954,0.57149,0.31841,0.56587,0.47653,0.33059,2.84064,0.51602,0.0015248,0.0015248,0.0015248
26,1160.73,0.46317,2.37777,0.60817,0.38301,0.2027,0.48792,0.38599,0.38299,2.80419,0.52793,0.001505,0.001505,0.001505
27,1207.7,0.53259,2.34838,0.68408,0.46935,0.2271,0.52874,0.42818,0.35136,2.73602,0.51385,0.0014852,0.0014852,0.0014852
28,1255.93,0.47402,2.31183,0.601,0.54462,0.68419,0.63356,0.52734,0.35402,2.9181,0.52173,0.0014654,0.0014654,0.0014654
29,1303.83,0.47102,2.25325,0.64766,0.55703,0.77928,0.69875,0.56984,0.38263,2.82195,0.52324,0.0014456,0.0014456,0.0014456
30,1348.97,0.50956,2.24261,0.65208,0.61814,0.7073,0.72784,0.60484,0.36347,2.51188,0.5137,0.0014258,0.0014258,0.0014258
