epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2742.99,1.26071,1.68388,1.27052,0.85505,0.87662,0.92052,0.66761,0.96981,1.05431,1.08154,0.000551962,0.000551962,0.000551962
2,5468.25,0.9501,0.99264,1.07503,0.81461,0.7734,0.86643,0.60897,1.01586,1.13508,1.11122,0.0010857,0.0010857,0.0010857
3,8425.28,0.93316,0.8678,1.06902,0.81012,0.78013,0.83722,0.58736,1.01846,1.24546,1.12451,0.00159743,0.00159743,0.00159743
4,143.885,0.89009,0.79836,1.04908,0.7266,0.76435,0.80968,0.5383,0.99942,1.00633,1.18344,0.00156798,0.00156798,0.00156798
5,241.17,0.86274,0.71624,1.03481,0.90651,0.91754,0.94968,0.75431,0.78867,0.58472,1.01499,0.00153497,0.00153497,0.00153497
6,337.673,0.83256,0.65786,1.02269,0.50286,0.48763,0.50447,0.25795,1.49206,2.26555,1.44883,0.00150197,0.00150197,0.00150197
7,432.812,0.82254,0.64401,1.02459,0.91899,0.93146,0.96566,0.76909,0.75368,0.57469,0.99443,0.00146896,0.00146896,0.00146896
8,527.455,0.8163,0.62353,1.02113,0.94963,0.94665,0.9811,0.79654,0.70576,0.54768,0.96983,0.00143595,0.00143595,0.00143595
9,621.852,0.80547,0.60449,1.01958,0.97455,0.96045,0.98646,0.7917,0.70751,0.46379,0.98738,0.00140295,0.00140295,0.00140295
10,716.101,0.78727,0.588,1.01303,0.97001,0.95356,0.98595,0.80984,0.68352,0.4774,0.96977,0.00136994,0.00136994,0.00136994
11,811.16,0.76783,0.55983,1.00358,0.94787,0.93865,0.98201,0.80363,0.7176,0.48043,0.98021,0.00133693,0.00133693,0.00133693
12,905.047,0.75651,0.54151,0.99164,0.96603,0.96822,0.98812,0.78936,0.76249,0.4548,0.98497,0.00130393,0.00130393,0.00130393
13,999.226,0.7352,0.51493,0.98751,0.95261,0.92497,0.97813,0.77677,0.76822,0.51052,1.03865,0.00127092,0.00127092,0.00127092
14,1094.64,0.73988,0.52428,0.98988,0.81635,0.84843,0.89197,0.66521,0.95878,0.79018,1.19261,0.00123791,0.00123791,0.00123791
15,1189.3,0.73382,0.51418,0.99178,0.97219,0.97036,0.9883,0.81255,0.6968,0.42902,0.96057,0.00120491,0.00120491,0.00120491
16,1284.71,0.73942,0.5094,0.9908,0.98312,0.97138,0.99041,0.8227,0.66345,0.40515,0.94687,0.0011719,0.0011719,0.0011719
17,1381.09,0.72481,0.49302,0.98094,0.96308,0.93781,0.97967,0.8173,0.67109,0.45342,0.94748,0.00113889,0.00113889,0.00113889
18,1475.74,0.70693,0.48414,0.9757,0.98256,0.96836,0.99168,0.84616,0.61689,0.37742,0.9331,0.00110589,0.00110589,0.00110589
19,1571.22,0.71392,0.47257,0.98166,0.96933,0.96797,0.98892,0.80451,0.73969,0.43564,0.96611,0.00107288,0.00107288,0.00107288
20,1665.48,0.71525,0.46808,0.9811,0.97758,0.9734,0.99092,0.83425,0.63529,0.37784,0.94889,0.00103987,0.00103987,0.00103987
21,1760.35,0.70389,0.4567,0.97705,0.98153,0.978,0.99234,0.83715,0.61724,0.37868,0.94168,0.00100687,0.00100687,0.00100687
