epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.715,0.35507,0.39822,0.89843,0.98077,0.97167,0.98988,0.95271,0.30587,0.37189,0.85322,0.000554362,0.000554362,0.000554362
2,251.536,0.39557,0.46108,0.91996,0.95719,0.97762,0.98695,0.91867,0.38933,0.41755,0.8669,0.00108805,0.00108805,0.00108805
3,369.401,0.4412,0.41438,0.93823,0.97122,0.97882,0.98959,0.92641,0.36328,0.39228,0.87155,0.00159973,0.00159973,0.00159973
4,485.963,0.44893,0.43191,0.94752,0.98068,0.98885,0.98942,0.93808,0.3579,0.36208,0.86544,0.00156798,0.00156798,0.00156798
5,603.468,0.40528,0.37646,0.92666,0.98455,0.99323,0.99087,0.93857,0.34038,0.31902,0.86066,0.00153497,0.00153497,0.00153497
6,720.95,0.41066,0.56749,0.91415,0.97986,0.97229,0.98927,0.91354,0.37713,0.42154,0.87544,0.00150197,0.00150197,0.00150197
7,836.28,0.42386,0.46798,0.94127,0.96873,0.97489,0.98756,0.91421,0.4047,0.38416,0.88478,0.00146896,0.00146896,0.00146896
8,945.746,0.42816,0.5112,0.93482,0.96696,0.97229,0.98761,0.93586,0.35333,0.38274,0.86847,0.00143595,0.00143595,0.00143595
9,1044.74,0.41969,0.45155,0.93132,0.96007,0.98182,0.98893,0.93395,0.34916,0.36972,0.86604,0.00140295,0.00140295,0.00140295
10,1147.39,0.40841,0.41712,0.92408,0.97123,0.98139,0.98913,0.95105,0.31429,0.32911,0.84774,0.00136994,0.00136994,0.00136994
11,1260.55,0.41038,0.39967,0.92447,0.97607,0.96926,0.98793,0.94695,0.33335,0.3688,0.85657,0.00133693,0.00133693,0.00133693
12,1366.06,0.40726,0.38601,0.92739,0.98672,0.9645,0.98992,0.94317,0.32922,0.3571,0.85505,0.00130393,0.00130393,0.00130393
13,1465.93,0.39968,0.84455,0.92749,0.9671,0.96702,0.98599,0.9259,0.35605,0.39728,0.8735,0.00127092,0.00127092,0.00127092
14,1571.79,0.40403,0.47721,0.92555,0.98359,0.98583,0.99091,0.93808,0.33954,0.30047,0.84422,0.00123791,0.00123791,0.00123791
15,1676.03,0.41632,0.41752,0.92671,0.98112,0.99,0.9904,0.94998,0.31306,0.33253,0.84468,0.00120491,0.00120491,0.00120491
16,1783.05,0.38694,0.37772,0.91255,0.9698,0.98699,0.98963,0.94977,0.31793,0.346,0.85177,0.0011719,0.0011719,0.0011719
