epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1462,1.56129,3.03415,1.64665,0.03708,1,0.47217,0.24685,1.07249,2.97781,1.2735,0.000542437,0.000542437,0.000542437
2,41.1873,1.09018,2.5859,1.28396,0.03823,1,0.84481,0.61737,0.72845,2.48824,1.01178,0.00107636,0.00107636,0.00107636
3,59.7128,1.14291,2.48012,1.33907,0.03823,1,0.84481,0.61737,0.72845,2.48824,1.01178,0.00158828,0.00158828,0.00158828
4,78.6328,1.05455,1.88759,1.26047,0.85286,0.84884,0.91394,0.59721,0.96354,2.57149,1.12,0.00156798,0.00156798,0.00156798
5,97.6177,1.06167,2.32316,1.25314,0.68401,0.84739,0.73876,0.51976,0.89926,1.30158,1.11936,0.00153497,0.00153497,0.00153497
6,116.117,0.98913,1.66953,1.22786,0.68401,0.84739,0.73876,0.51976,0.89926,1.30158,1.11936,0.00150197,0.00150197,0.00150197
7,134.575,0.97229,2.22992,1.20003,0.7066,0.87745,0.75522,0.53983,0.86346,1.22637,1.08188,0.00146896,0.00146896,0.00146896
8,152.74,0.94931,2.02859,1.20401,0.79819,0.94574,0.9049,0.68548,0.78157,1.05227,1.09799,0.00143595,0.00143595,0.00143595
9,171.204,0.92944,1.49364,1.17842,0.79819,0.94574,0.9049,0.68548,0.78157,1.05227,1.09799,0.00140295,0.00140295,0.00140295
10,189.989,0.91442,1.59733,1.16822,0.8171,0.90044,0.89926,0.70105,0.76952,1.24676,1.04796,0.00136994,0.00136994,0.00136994
11,208.412,0.88875,1.50267,1.1646,0.82363,0.82558,0.91508,0.73299,0.58747,1.05242,0.99268,0.00133693,0.00133693,0.00133693
12,227.037,0.73923,1.36584,1.08371,0.82363,0.82558,0.91508,0.73299,0.58747,1.05242,0.99268,0.00130393,0.00130393,0.00130393
13,245.816,0.81026,1.35236,1.1511,0.85917,0.92248,0.9568,0.76859,0.64479,0.98848,0.99796,0.00127092,0.00127092,0.00127092
14,264.415,0.8064,1.39927,1.14735,0.91103,0.93798,0.97356,0.79794,0.72562,1.01071,1.01808,0.00123791,0.00123791,0.00123791
15,283.072,0.83572,1.30074,1.13784,0.91103,0.93798,0.97356,0.79794,0.72562,1.01071,1.01808,0.00120491,0.00120491,0.00120491
16,301.585,0.74115,1.26548,1.07345,0.89684,0.94354,0.95952,0.78951,0.66535,0.98905,0.99795,0.0011719,0.0011719,0.0011719
17,320.157,0.75268,1.17282,1.11343,0.95727,0.95517,0.98341,0.82777,0.59857,0.86882,0.9773,0.00113889,0.00113889,0.00113889
18,338.839,0.75352,1.28117,1.10634,0.95727,0.95517,0.98341,0.82777,0.59857,0.86882,0.9773,0.00110589,0.00110589,0.00110589
19,357.358,0.76444,1.1532,1.12734,0.95616,0.96512,0.98309,0.80401,0.61791,0.90682,0.9891,0.00107288,0.00107288,0.00107288
20,376.426,0.72979,1.10202,1.0592,0.9654,0.97674,0.9843,0.81812,0.61661,0.86318,0.97234,0.00103987,0.00103987,0.00103987
21,394.822,0.7563,1.08978,1.05291,0.9654,0.97674,0.9843,0.81812,0.61661,0.86318,0.97234,0.00100687,0.00100687,0.00100687
22,413.419,0.74172,1.07609,1.06518,0.96113,0.95833,0.97946,0.83968,0.592,0.84446,0.98467,0.000973861,0.000973861,0.000973861
23,432.066,0.6942,1.07069,1.05914,0.96393,0.97674,0.98302,0.85137,0.56577,0.77961,0.96528,0.000940855,0.000940855,0.000940855
24,450.659,0.67755,1.03432,1.05146,0.96393,0.97674,0.98302,0.85137,0.56577,0.77961,0.96528,0.000907848,0.000907848,0.000907848
25,469.812,0.72092,1.29282,1.05093,0.96176,0.97476,0.98939,0.87064,0.5291,0.74972,0.93465,0.000874842,0.000874842,0.000874842
26,488.98,0.72194,0.99664,1.06955,0.96421,0.97674,0.99119,0.87433,0.5072,0.77065,0.91745,0.000841835,0.000841835,0.000841835
27,508.489,0.68345,1.55647,1.06807,0.96421,0.97674,0.99119,0.87433,0.5072,0.77065,0.91745,0.000808828,0.000808828,0.000808828
28,528.436,0.63992,1.00128,0.99395,0.9619,0.98062,0.9881,0.86266,0.52482,0.81729,0.9261,0.000775822,0.000775822,0.000775822
29,547.123,0.6328,1.39407,0.99764,0.98296,0.97674,0.98997,0.8608,0.53485,0.77278,0.93201,0.000742815,0.000742815,0.000742815
30,565.684,0.69826,1.01312,1.02239,0.98296,0.97674,0.98997,0.8608,0.53485,0.77278,0.93201,0.000709809,0.000709809,0.000709809
31,584.308,0.63228,0.98143,1.00762,0.96761,0.97674,0.98793,0.85753,0.52559,0.73075,0.92406,0.000676802,0.000676802,0.000676802
32,603.333,0.65109,1.33615,1.03416,0.94301,0.96208,0.98648,0.87304,0.4841,0.72416,0.90479,0.000643795,0.000643795,0.000643795
33,621.766,0.63229,0.89367,1.0043,0.94301,0.96208,0.98648,0.87304,0.4841,0.72416,0.90479,0.000610789,0.000610789,0.000610789
34,640.479,0.64664,0.93318,1.00762,0.97556,0.96512,0.99091,0.88989,0.46092,0.67832,0.88992,0.000577782,0.000577782,0.000577782
35,658.852,0.58333,0.91578,0.9963,0.97556,0.96512,0.99091,0.88989,0.46092,0.67832,0.88992,0.000544776,0.000544776,0.000544776
36,677.156,0.64545,1.01915,1.04193,0.98156,0.98062,0.99178,0.89469,0.46378,0.64762,0.89265,0.000511769,0.000511769,0.000511769
37,695.669,0.60642,0.98346,0.98934,0.99608,0.98418,0.99453,0.89721,0.45618,0.61064,0.89009,0.000478762,0.000478762,0.000478762
38,714.383,0.59995,0.84647,1.00777,0.99608,0.98418,0.99453,0.89721,0.45618,0.61064,0.89009,0.000445756,0.000445756,0.000445756
39,733.43,0.5847,0.88377,1.0005,0.98465,0.9948,0.99457,0.90064,0.44383,0.61919,0.88782,0.000412749,0.000412749,0.000412749
40,752.305,0.61097,0.84055,0.97787,0.98074,0.99612,0.99457,0.90465,0.44023,0.60588,0.88513,0.000379743,0.000379743,0.000379743
41,771.671,0.53037,1.42759,0.92835,0.98074,0.99612,0.99457,0.90465,0.44023,0.60588,0.88513,0.000346736,0.000346736,0.000346736
