epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1087,1.92407,7.02807,1.5181,0.01598,0.69895,0.07489,0.03806,1.48894,10.1662,1.13271,0.00043342,0.00043342,0.00043342
2,82.3375,1.54562,3.13324,1.28015,0.02231,0.85135,0.18666,0.09727,1.47623,9.93324,1.17582,0.000866017,0.000866017,0.000866017
3,123.149,1.57908,2.44422,1.29564,0.41393,0.17123,0.25489,0.12159,1.51438,10.2555,1.20214,0.00128079,0.00128079,0.00128079
4,168,1.42136,9.85447,1.12558,0.43052,0.22753,0.30559,0.15793,1.36934,11.0466,1.12209,0.00156798,0.00156798,0.00156798
5,210.175,1.56839,2.83853,1.24764,0.35278,0.2075,0.26769,0.14593,1.35212,10.142,1.09949,0.00153497,0.00153497,0.00153497
6,251.483,1.37024,2.98754,1.17094,0.34552,0.33017,0.3241,0.19218,1.21854,10.9606,1.03295,0.00150197,0.00150197,0.00150197
7,292.927,1.39216,2.16753,1.19394,0.38477,0.55856,0.39211,0.23943,1.29718,28.0918,1.07105,0.00146896,0.00146896,0.00146896
8,333.978,1.42338,2.16321,1.21619,0.3973,0.56381,0.43657,0.27051,1.17075,40.2287,1.02157,0.00143595,0.00143595,0.00143595
9,374.952,1.43889,2.49433,1.2226,0.40466,0.54129,0.42832,0.26724,1.19836,27.0281,1.04015,0.00140295,0.00140295,0.00140295
10,416.263,1.34294,2.32425,1.18907,0.36527,0.54055,0.3915,0.21781,1.26604,18.6577,1.04986,0.00136994,0.00136994,0.00136994
11,457.263,1.31656,2.18054,1.20843,0.35644,0.52088,0.3787,0.24597,1.14498,28.3736,0.98137,0.00133693,0.00133693,0.00133693
12,498.148,1.27852,2.15001,1.17826,0.38961,0.52402,0.40559,0.271,1.10159,25.3047,0.96083,0.00130393,0.00130393,0.00130393
13,538.949,1.21236,5.98324,1.11312,0.45033,0.52367,0.46837,0.30291,1.11537,22.4123,0.97341,0.00127092,0.00127092,0.00127092
14,579.865,1.29064,1.95349,1.1622,0.48509,0.59497,0.565,0.38266,1.02257,19.9576,0.91486,0.00123791,0.00123791,0.00123791
15,620.753,1.22567,1.88368,1.15208,0.53493,0.57658,0.60808,0.42426,0.99556,18.7619,0.90358,0.00120491,0.00120491,0.00120491
16,661.456,1.1962,2.68479,1.07829,0.58497,0.63814,0.66622,0.47524,0.96444,20.7319,0.89001,0.0011719,0.0011719,0.0011719
17,702.126,1.17228,2.82936,1.1066,0.53611,0.58673,0.60916,0.42629,0.97617,13.0605,0.91027,0.00113889,0.00113889,0.00113889
18,743.347,1.25174,1.90215,1.08664,0.59685,0.6021,0.64653,0.45512,0.9556,11.6652,0.89104,0.00110589,0.00110589,0.00110589
19,784.14,1.13048,2.4384,1.04923,0.6027,0.6464,0.65246,0.4581,0.9492,17.2754,0.88391,0.00107288,0.00107288,0.00107288
20,825.099,1.24711,1.8723,1.13008,0.63135,0.61562,0.70958,0.5295,0.92712,26.961,0.87248,0.00103987,0.00103987,0.00103987
21,865.952,1.09876,2.90218,1.03785,0.64034,0.69294,0.73785,0.55089,0.90022,34.0661,0.86769,0.00100687,0.00100687,0.00100687
22,906.701,1.09629,2.90625,1.06056,0.66281,0.6646,0.71355,0.5283,0.90612,27.5416,0.86752,0.000973861,0.000973861,0.000973861
23,947.293,1.17502,5.11731,1.07882,0.54988,0.64133,0.5624,0.40574,0.95795,16.1131,0.87758,0.000940855,0.000940855,0.000940855
24,988.412,1.0982,4.55466,1.04385,0.62035,0.54121,0.58454,0.42915,0.94814,10.823,0.86478,0.000907848,0.000907848,0.000907848
25,1029.04,1.09777,2.21193,1.04232,0.71609,0.45518,0.63836,0.47537,0.92394,9.79188,0.86129,0.000874842,0.000874842,0.000874842
26,1070.37,1.06362,3.79864,0.98618,0.8468,0.42042,0.70618,0.5389,0.86964,9.37862,0.85136,0.000841835,0.000841835,0.000841835
27,1111.49,1.14262,2.35075,1.08418,0.75335,0.58593,0.72305,0.5547,0.84977,11.2986,0.84135,0.000808828,0.000808828,0.000808828
28,1153.65,1.05715,2.40661,1.021,0.66954,0.64264,0.72153,0.55016,0.86385,14.7189,0.84402,0.000775822,0.000775822,0.000775822
29,1194.82,1.09519,1.98136,1.05039,0.63237,0.64865,0.7183,0.52798,0.91964,24.3318,0.86375,0.000742815,0.000742815,0.000742815
30,1235.95,1.0833,5.28917,1.03615,0.63696,0.71922,0.75849,0.55982,0.89157,27.2197,0.85165,0.000709809,0.000709809,0.000709809
31,1276.9,1.05502,2.72916,1.03308,0.69544,0.72625,0.78715,0.58871,0.86749,25.9079,0.83964,0.000676802,0.000676802,0.000676802
32,1317.61,1.0644,6.85809,0.99253,0.666,0.68844,0.71543,0.54568,0.87222,28.8901,0.83908,0.000643795,0.000643795,0.000643795
33,1358.74,1.09488,1.79142,1.02541,0.73211,0.69444,0.7775,0.59576,0.87732,19.3174,0.83676,0.000610789,0.000610789,0.000610789
34,1399.4,1.09125,1.66479,1.05121,0.73048,0.72139,0.8044,0.62045,0.86963,15.9278,0.83657,0.000577782,0.000577782,0.000577782
35,1440.12,1.10218,1.67171,1.07658,0.73448,0.70924,0.81229,0.62599,0.8732,13.251,0.83713,0.000544776,0.000544776,0.000544776
36,1481.56,1.05022,1.62981,1.03359,0.75671,0.72866,0.82945,0.63943,0.85714,13.6078,0.83249,0.000511769,0.000511769,0.000511769
37,1522.47,1.05698,1.63744,1.02082,0.80417,0.72242,0.83394,0.63592,0.85594,14.8338,0.83124,0.000478762,0.000478762,0.000478762
38,1563.15,1.06087,1.55059,1.02019,0.8138,0.73198,0.83877,0.6332,0.86081,15.358,0.83024,0.000445756,0.000445756,0.000445756
39,1604.18,1.0168,1.61546,1.04146,0.82695,0.74291,0.85097,0.65397,0.83988,14.6627,0.82949,0.000412749,0.000412749,0.000412749
40,1645.27,1.03948,1.42164,1.01847,0.83643,0.78213,0.88183,0.67523,0.83161,14.6643,0.82466,0.000379743,0.000379743,0.000379743
41,1686.19,0.9145,20.9449,0.91241,0.80224,0.78844,0.87636,0.66599,0.84718,16.9168,0.83002,0.000346736,0.000346736,0.000346736
42,1726.86,0.81785,28.1973,0.80404,0.76592,0.77102,0.8433,0.62051,0.88443,17.2078,0.84014,0.000313729,0.000313729,0.000313729
43,1767.8,1.02098,11.8672,0.91845,0.74559,0.71772,0.79528,0.55781,0.93064,12.2838,0.84972,0.000280723,0.000280723,0.000280723
44,1808.74,0.94053,15.1489,0.84935,0.69632,0.6997,0.75966,0.51685,0.94941,11.4058,0.85675,0.000247716,0.000247716,0.000247716
45,1850.43,0.87976,14.8422,0.8094,0.66771,0.64123,0.69772,0.45981,0.98165,10.277,0.86896,0.00021471,0.00021471,0.00021471
46,1891.3,0.94392,14.3876,0.88654,0.66649,0.55618,0.63058,0.40268,1.00253,10.2379,0.88017,0.000181703,0.000181703,0.000181703
47,1931.87,1.06821,8.0418,0.94519,0.68505,0.51636,0.63758,0.41601,0.98882,9.87107,0.87705,0.000148696,0.000148696,0.000148696
48,1972.81,1.01432,8.12548,0.92991,0.73744,0.49065,0.65905,0.44442,0.95753,9.52541,0.8681,0.00011569,0.00011569,0.00011569
49,2013.92,0.97393,6.42079,0.90569,0.75894,0.48316,0.70257,0.48953,0.92189,9.26198,0.85718,8.26832e-05,8.26832e-05,8.26832e-05
50,2054.76,0.82146,9.97886,0.78003,0.77231,0.45243,0.72786,0.51398,0.90872,9.07738,0.85275,4.96766e-05,4.96766e-05,4.96766e-05
