epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3735,2.14873,3.40888,1.70993,0.02714,0.55879,0.14256,0.07255,1.79785,3.51189,1.46325,0.0003334,0.0003334,0.0003334
2,44.8417,1.65254,2.94026,1.35684,0.0452,0.68928,0.45539,0.33275,1.3878,3.16446,1.15828,0.000676704,0.000676704,0.000676704
3,64.6131,1.61002,2.30364,1.27895,0.92619,0.44197,0.71637,0.48204,1.46252,2.46764,1.19301,0.00101308,0.00101308,0.00101308
4,87.0099,1.59714,1.92681,1.2529,0.70194,0.72481,0.71052,0.43208,1.5123,1.74804,1.2113,0.00134252,0.00134252,0.00134252
5,110.103,1.63601,1.91814,1.27271,0.70194,0.72481,0.71052,0.43208,1.5123,1.74804,1.2113,0.00160099,0.00160099,0.00160099
6,129.624,1.58231,1.71147,1.25172,0.73886,0.71152,0.79026,0.47489,1.5703,2.41718,1.23542,0.00158448,0.00158448,0.00158448
7,148.981,1.56477,1.63925,1.23274,0.81483,0.73918,0.82708,0.50429,1.52101,1.8581,1.21965,0.00156798,0.00156798,0.00156798
8,168.485,1.50233,1.52867,1.27456,0.81483,0.73918,0.82708,0.50429,1.52101,1.8581,1.21965,0.00155148,0.00155148,0.00155148
9,188.847,1.47332,1.47262,1.18775,0.82828,0.79607,0.84377,0.53092,1.46844,1.34928,1.20644,0.00153497,0.00153497,0.00153497
10,209.094,1.46087,1.45419,1.18169,0.83756,0.7939,0.85934,0.55489,1.33382,1.21788,1.15357,0.00151847,0.00151847,0.00151847
11,229.14,1.48222,1.38418,1.18054,0.83756,0.7939,0.85934,0.55489,1.33382,1.21788,1.15357,0.00150197,0.00150197,0.00150197
12,249.775,1.32542,1.26457,1.1314,0.87993,0.80279,0.87738,0.60425,1.21928,1.26993,1.07553,0.00148546,0.00148546,0.00148546
13,270.2,1.39698,1.36101,1.16861,0.87579,0.81395,0.8847,0.56032,1.38615,1.42335,1.11059,0.00146896,0.00146896,0.00146896
14,291.784,1.37717,1.33957,1.18815,0.87579,0.81395,0.8847,0.56032,1.38615,1.42335,1.11059,0.00145246,0.00145246,0.00145246
15,313.542,1.32092,1.25368,1.1391,0.83793,0.8436,0.88831,0.60145,1.21841,1.32015,1.08535,0.00143595,0.00143595,0.00143595
16,334.853,1.35343,1.27137,1.16902,0.8691,0.87158,0.92501,0.62531,1.22479,1.05332,1.1124,0.00141945,0.00141945,0.00141945
17,356.499,1.299,1.20047,1.11584,0.8691,0.87158,0.92501,0.62531,1.22479,1.05332,1.1124,0.00140295,0.00140295,0.00140295
18,377.593,1.26161,1.20484,1.14425,0.91133,0.85436,0.9413,0.68031,1.1738,0.92073,1.09794,0.00138644,0.00138644,0.00138644
19,399.252,1.22939,1.13612,1.12498,0.9152,0.84977,0.92226,0.65669,1.22069,1.00043,1.08206,0.00136994,0.00136994,0.00136994
20,420.045,1.33631,1.12187,1.12397,0.9152,0.84977,0.92226,0.65669,1.22069,1.00043,1.08206,0.00135344,0.00135344,0.00135344
21,442.217,1.28578,1.09158,1.09576,0.92433,0.86905,0.93139,0.67881,1.14475,0.95656,1.05834,0.00133693,0.00133693,0.00133693
22,466.068,1.24558,1.08611,1.09289,0.92433,0.86905,0.93139,0.67881,1.14475,0.95656,1.05834,0.00132043,0.00132043,0.00132043
23,489.23,1.23945,1.11516,1.10461,0.9226,0.89664,0.95767,0.68553,1.15256,0.91005,1.07377,0.00130393,0.00130393,0.00130393
24,513.272,1.23227,1.18475,1.15166,0.91653,0.91602,0.95617,0.69708,1.1096,0.89754,1.04965,0.00128742,0.00128742,0.00128742
25,582.321,1.21765,1.00265,1.08041,0.91653,0.91602,0.95617,0.69708,1.1096,0.89754,1.04965,0.00127092,0.00127092,0.00127092
26,608.191,1.12941,1.0356,1.05142,0.92285,0.90848,0.96595,0.71174,1.07826,0.83275,1.01915,0.00125442,0.00125442,0.00125442
27,636.21,1.18758,1.06791,1.11976,0.92848,0.90907,0.96769,0.72421,1.08129,0.84701,1.009,0.00123791,0.00123791,0.00123791
28,666.466,1.18774,1.02392,1.07178,0.92848,0.90907,0.96769,0.72421,1.08129,0.84701,1.009,0.00122141,0.00122141,0.00122141
29,690.404,1.11604,0.98472,1.04174,0.91008,0.90956,0.96579,0.71959,1.07004,0.84697,1.00673,0.00120491,0.00120491,0.00120491
30,714.299,1.19014,0.97472,1.03671,0.91697,0.90919,0.96684,0.72796,1.04298,0.81145,0.99739,0.0011884,0.0011884,0.0011884
31,737.645,1.13423,0.96691,1.03249,0.91697,0.90919,0.96684,0.72796,1.04298,0.81145,0.99739,0.0011719,0.0011719,0.0011719
32,761.277,1.13752,0.99897,1.0646,0.91791,0.92762,0.9721,0.73911,1.02751,0.79144,0.99721,0.0011554,0.0011554,0.0011554
