epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.559,1.40395,1.17225,1.13215,0.96484,0.95829,0.98731,0.68864,1.12997,0.6632,1.02915,0.00010002,0.00010002,0.00010002
2,245.977,1.20919,0.82069,1.07937,0.94393,0.94603,0.98575,0.64512,1.07324,0.73782,1.01906,0.000212419,0.000212419,0.000212419
3,356.714,1.2134,0.80814,1.06899,0.99021,0.96301,0.99326,0.68247,1.07748,0.63386,1.00743,0.000320197,0.000320197,0.000320197
4,468.667,1.18346,0.76705,1.06889,0.99024,0.96647,0.9928,0.68876,1.06832,0.60988,0.99844,0.000423355,0.000423355,0.000423355
5,580.23,1.14263,0.67562,1.02369,0.98028,0.94679,0.98994,0.66635,1.11208,0.6839,1.03639,0.000521891,0.000521891,0.000521891
6,694.345,1.17925,0.74458,1.0782,0.93811,0.96231,0.98895,0.67003,1.07106,0.69673,1.01777,0.000615806,0.000615806,0.000615806
7,814.59,1.13,0.67328,1.04389,0.97797,0.98629,0.9944,0.7118,1.0744,0.59117,1.00189,0.000705101,0.000705101,0.000705101
8,929.159,1.1366,0.69939,1.03724,0.97647,0.9873,0.99343,0.70734,1.05869,0.60343,1.02918,0.000789775,0.000789775,0.000789775
9,1039.24,1.13827,0.69598,1.04654,0.96558,0.97957,0.98885,0.68494,1.10528,0.67482,1.06086,0.000869827,0.000869827,0.000869827
10,1153.81,1.09901,0.65306,1.0163,0.85041,0.87302,0.91669,0.56257,1.19977,0.87112,1.13963,0.000945259,0.000945259,0.000945259
11,1265.09,1.10411,0.63913,1.01001,0.63236,0.67302,0.67298,0.34748,1.44529,1.266,1.32312,0.00101607,0.00101607,0.00101607
12,1379.76,1.11599,0.64831,1.02911,0.74116,0.77265,0.79166,0.4426,1.38305,1.0653,1.26029,0.00108226,0.00108226,0.00108226
13,1492.8,1.10436,0.67015,1.01528,0.75654,0.82866,0.81536,0.44426,1.43427,1.03359,1.2804,0.00114383,0.00114383,0.00114383
14,1605.03,1.04686,0.61984,0.99238,0.9098,0.99261,0.95985,0.70858,0.99207,0.69526,0.99214,0.00120078,0.00120078,0.00120078
15,1722.42,1.08806,0.6348,1.0123,0.90758,0.98413,0.96313,0.65425,1.12111,0.74438,1.04833,0.00120491,0.00120491,0.00120491
16,1836.38,1.12363,0.64516,1.01207,0.9501,0.9873,0.98026,0.7053,1.01216,0.62803,1.01281,0.0011719,0.0011719,0.0011719
17,1946.46,1.1134,0.64564,1.01649,0.9479,0.98194,0.98008,0.69248,1.03872,0.61627,1.02683,0.00113889,0.00113889,0.00113889
18,2062.86,1.08617,0.66339,1.03114,0.91522,0.9596,0.96771,0.65988,1.08938,0.66709,1.04574,0.00110589,0.00110589,0.00110589
19,2174.59,1.07351,0.63679,1.00865,0.95703,0.99365,0.98278,0.7131,0.99094,0.59439,1.00419,0.00107288,0.00107288,0.00107288
20,2284,1.05881,0.60828,1.00445,0.93668,0.99365,0.9881,0.73915,0.92461,0.60664,0.9767,0.00103987,0.00103987,0.00103987
21,2400.05,1.01101,0.6127,1.00313,0.94224,0.9873,0.98546,0.72174,0.9716,0.61427,0.99904,0.00100687,0.00100687,0.00100687
22,2511.71,1.02355,0.57859,0.97067,0.97475,0.9804,0.98816,0.73484,0.95345,0.56464,0.97555,0.000973861,0.000973861,0.000973861
23,2620.72,1.02746,0.58646,1.00605,0.98728,0.9746,0.99005,0.75668,0.92402,0.52771,0.96382,0.000940855,0.000940855,0.000940855
24,2732.92,1.07982,0.59203,0.98766,0.97857,0.98095,0.99191,0.74418,0.95564,0.53651,0.96724,0.000907848,0.000907848,0.000907848
25,2842.64,1.03842,0.57774,0.98353,0.98118,0.99291,0.99266,0.74471,0.96529,0.54119,0.96973,0.000874842,0.000874842,0.000874842
26,2953.22,1.00102,0.56763,0.9771,0.98857,0.99683,0.99439,0.76577,0.9059,0.50023,0.95879,0.000841835,0.000841835,0.000841835
27,3068.67,0.9892,0.54809,0.98921,0.98434,0.99775,0.99452,0.77734,0.88028,0.48572,0.94865,0.000808828,0.000808828,0.000808828
28,3181.3,1.00459,0.57051,0.99168,0.98382,0.99683,0.99455,0.75864,0.92584,0.50203,0.95704,0.000775822,0.000775822,0.000775822
29,3290.26,1.02986,0.56022,0.98568,0.98418,0.99683,0.99442,0.76963,0.88512,0.50735,0.94803,0.000742815,0.000742815,0.000742815
