epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3478,0.36433,0.42512,0.90697,0.9076,0.98451,0.95428,0.91874,0.33482,0.35543,0.83433,0.000546406,0.000546406,0.000546406
2,44.9989,0.36826,0.4028,0.89607,0.91967,0.98172,0.95998,0.90305,0.39368,0.36942,0.84933,0.00108025,0.00108025,0.00108025
3,64.8992,0.38865,0.41741,0.90313,0.91098,0.97317,0.95416,0.87363,0.47287,0.49719,0.94014,0.00159209,0.00159209,0.00159209
4,86.1141,0.38384,0.41593,0.90264,0.91747,0.97455,0.95698,0.90656,0.36413,0.3918,0.84527,0.00156798,0.00156798,0.00156798
5,106.288,0.37485,0.41757,0.89647,0.91817,0.98534,0.95381,0.91203,0.33629,0.39018,0.84307,0.00153497,0.00153497,0.00153497
6,127.596,0.37223,0.4119,0.89143,0.87816,0.95103,0.94593,0.88095,0.41138,0.48054,0.87931,0.00150197,0.00150197,0.00150197
7,147.782,0.37029,0.39497,0.89548,0.73048,0.79723,0.81396,0.47817,1.36637,1.16007,1.4876,0.00146896,0.00146896,0.00146896
8,168.927,0.36552,0.40495,0.90047,0.92019,0.98838,0.95619,0.92288,0.32893,0.35731,0.8401,0.00143595,0.00143595,0.00143595
9,189.37,0.36432,0.39468,0.89742,0.92039,0.98866,0.95979,0.92849,0.30126,0.32903,0.83556,0.00140295,0.00140295,0.00140295
10,210.871,0.36383,0.38796,0.89461,0.66585,0.46639,0.55499,0.41923,0.96825,2.211,1.26292,0.00136994,0.00136994,0.00136994
11,231.029,0.35587,0.38671,0.88822,0.69992,0.42822,0.59416,0.44458,1.01716,2.55553,1.2108,0.00133693,0.00133693,0.00133693
12,251.652,0.35406,0.37597,0.89224,0.9243,0.98968,0.96371,0.93756,0.27936,0.30803,0.82395,0.00130393,0.00130393,0.00130393
13,273.105,0.3486,0.36304,0.88233,0.91546,0.97648,0.96129,0.92511,0.34492,0.44157,0.8476,0.00127092,0.00127092,0.00127092
14,293.43,0.33878,0.3722,0.88246,0.92387,0.99419,0.96252,0.93567,0.29946,0.30969,0.83305,0.00123791,0.00123791,0.00123791
15,314.301,0.34984,0.38018,0.88804,0.20333,0.21604,0.16869,0.11491,1.98757,4.47999,2.02773,0.00120491,0.00120491,0.00120491
16,334.336,0.33913,0.37252,0.88113,0.44945,0.55131,0.42367,0.28729,1.17655,2.66502,1.34936,0.0011719,0.0011719,0.0011719
17,355.958,0.33856,0.36956,0.88294,0.92997,0.98445,0.96605,0.91722,0.3759,0.35052,0.85012,0.00113889,0.00113889,0.00113889
18,375.833,0.33439,0.35987,0.87885,0.91536,0.98131,0.96628,0.92658,0.33605,0.37444,0.84325,0.00110589,0.00110589,0.00110589
19,396.797,0.33566,0.3613,0.8879,0.91516,0.94136,0.95645,0.90736,0.3957,0.53709,0.87971,0.00107288,0.00107288,0.00107288
20,417.059,0.32951,0.34897,0.88165,0.92716,0.99293,0.96855,0.94467,0.27325,0.30249,0.81174,0.00103987,0.00103987,0.00103987
21,438.919,0.32464,0.34266,0.87241,0.92859,0.98949,0.96553,0.94349,0.27808,0.28643,0.80441,0.00100687,0.00100687,0.00100687
22,459.034,0.33197,0.34438,0.87844,0.9273,0.98562,0.96656,0.94157,0.28871,0.32346,0.81354,0.000973861,0.000973861,0.000973861
23,480.089,0.32008,0.34588,0.87067,0.9201,0.974,0.967,0.92296,0.36415,0.38501,0.85624,0.000940855,0.000940855,0.000940855
24,500.251,0.32762,0.3365,0.88052,0.92353,0.98882,0.96821,0.92551,0.34495,0.33486,0.85498,0.000907848,0.000907848,0.000907848
25,521.019,0.32454,0.33709,0.87855,0.92746,0.98562,0.97094,0.91488,0.39039,0.34141,0.86032,0.000874842,0.000874842,0.000874842
26,542.014,0.3179,0.33851,0.87812,0.92329,0.9834,0.97044,0.94237,0.28526,0.34935,0.83073,0.000841835,0.000841835,0.000841835
27,561.96,0.31312,0.33579,0.87585,0.93279,0.99054,0.97002,0.94834,0.2547,0.28114,0.80929,0.000808828,0.000808828,0.000808828
28,583.707,0.31101,0.3206,0.8704,0.92347,0.97815,0.96962,0.93436,0.34814,0.34798,0.83321,0.000775822,0.000775822,0.000775822
29,603.614,0.30899,0.31842,0.86765,0.93417,0.98893,0.97068,0.93316,0.33895,0.34261,0.83195,0.000742815,0.000742815,0.000742815
30,624.961,0.3032,0.31366,0.86533,0.93816,0.98479,0.9742,0.95236,0.27706,0.27879,0.82383,0.000709809,0.000709809,0.000709809
31,645.342,0.29791,0.30554,0.86788,0.93543,0.99004,0.97513,0.95845,0.24361,0.25716,0.81764,0.000676802,0.000676802,0.000676802
32,667.053,0.30538,0.31477,0.86948,0.93675,0.98949,0.97796,0.95805,0.25667,0.26176,0.80886,0.000643795,0.000643795,0.000643795
33,687.036,0.29839,0.3133,0.87329,0.93121,0.99281,0.9774,0.9592,0.24041,0.25769,0.79781,0.000610789,0.000610789,0.000610789
34,708.751,0.2935,0.30402,0.86497,0.93886,0.98811,0.97888,0.96143,0.24456,0.24821,0.80858,0.000577782,0.000577782,0.000577782
35,729.294,0.29066,0.29313,0.86171,0.93397,0.99382,0.97887,0.96089,0.23063,0.24689,0.79301,0.000544776,0.000544776,0.000544776
36,750.902,0.29131,0.31173,0.8648,0.93783,0.989,0.97959,0.96117,0.23002,0.24274,0.79594,0.000511769,0.000511769,0.000511769
37,771.118,0.28796,0.30027,0.8628,0.94164,0.98648,0.98026,0.96158,0.23341,0.24217,0.80599,0.000478762,0.000478762,0.000478762
38,792.726,0.28834,0.30194,0.87056,0.94494,0.98281,0.98026,0.96295,0.24796,0.25264,0.8179,0.000445756,0.000445756,0.000445756
39,812.997,0.28207,0.28948,0.85848,0.93916,0.98811,0.98152,0.95777,0.28962,0.28154,0.82449,0.000412749,0.000412749,0.000412749
40,833.85,0.27698,0.28098,0.8597,0.93444,0.99447,0.98048,0.96185,0.25087,0.24873,0.81626,0.000379743,0.000379743,0.000379743
41,855.977,0.24971,0.25831,0.82934,0.93669,0.99053,0.9823,0.9628,0.2401,0.24421,0.80945,0.000346736,0.000346736,0.000346736
42,876.557,0.23581,0.24085,0.8179,0.93731,0.99265,0.98336,0.96655,0.25437,0.24568,0.80485,0.000313729,0.000313729,0.000313729
43,896.605,0.23544,0.23611,0.82412,0.9422,0.98753,0.98411,0.96857,0.23961,0.23693,0.80278,0.000280723,0.000280723,0.000280723
44,916.879,0.23436,0.23137,0.81674,0.95009,0.97954,0.9828,0.96412,0.22745,0.23614,0.80007,0.000247716,0.000247716,0.000247716
45,937.47,0.23073,0.23172,0.81597,0.95162,0.97939,0.98464,0.96912,0.22298,0.22688,0.7942,0.00021471,0.00021471,0.00021471
46,957.423,0.22651,0.22339,0.81371,0.94116,0.98893,0.98358,0.96992,0.21777,0.22416,0.79206,0.000181703,0.000181703,0.000181703
47,978.795,0.22968,0.22389,0.81498,0.94658,0.98522,0.98576,0.97055,0.21174,0.22018,0.79329,0.000148696,0.000148696,0.000148696
48,998.548,0.22162,0.2146,0.81013,0.94818,0.98693,0.98641,0.97223,0.21173,0.21187,0.79078,0.00011569,0.00011569,0.00011569
49,1019.51,0.2178,0.21368,0.81308,0.9499,0.9834,0.98687,0.97334,0.20888,0.21069,0.79308,8.26832e-05,8.26832e-05,8.26832e-05
50,1039.23,0.21547,0.2107,0.81588,0.94626,0.98879,0.98739,0.97474,0.21048,0.20853,0.7932,4.96766e-05,4.96766e-05,4.96766e-05
