epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93892,0.5158,0.58188,0.93871,0.97038,0.98651,0.99345,0.95905,0.2894,0.29383,0.72068,0.00010002,0.00010002,0.00010002
2,8.50283,0.41772,0.39402,0.89555,0.99337,0.97495,0.99416,0.95571,0.30369,0.25823,0.71605,0.000212419,0.000212419,0.000212419
3,11.0201,0.40246,0.34327,0.89364,0.98841,0.98623,0.99463,0.96335,0.28458,0.24096,0.7089,0.000320197,0.000320197,0.000320197
4,15.0343,0.38596,0.3487,0.87903,0.99038,0.99224,0.99488,0.96375,0.28705,0.22345,0.70755,0.000423355,0.000423355,0.000423355
5,18.0105,0.3856,0.33412,0.89396,0.99119,0.99037,0.99469,0.96314,0.29003,0.22835,0.7056,0.000521891,0.000521891,0.000521891
6,20.6005,0.41389,0.34326,0.87434,0.99229,0.99142,0.99465,0.95666,0.30712,0.24145,0.71093,0.000615806,0.000615806,0.000615806
7,23.1214,0.39583,0.3381,0.90415,0.99216,0.99037,0.99492,0.95077,0.31135,0.26956,0.72442,0.000705101,0.000705101,0.000705101
8,25.845,0.3866,0.33225,0.87274,0.99166,0.99037,0.9949,0.94534,0.32058,0.26132,0.72846,0.000789775,0.000789775,0.000789775
9,29.9392,0.37378,0.29689,0.87066,0.98847,0.99422,0.99477,0.95344,0.31681,0.24695,0.72179,0.000869827,0.000869827,0.000869827
10,32.7202,0.40959,0.34134,0.89784,0.98457,0.98379,0.99444,0.94039,0.3422,0.29029,0.73536,0.000945259,0.000945259,0.000945259
11,35.3523,0.38541,0.32481,0.87982,0.98285,0.9422,0.98806,0.9363,0.33825,0.35778,0.73761,0.00101607,0.00101607,0.00101607
12,37.9446,0.38794,0.32187,0.89295,0.98081,0.97881,0.99366,0.92989,0.36586,0.33418,0.73639,0.00108226,0.00108226,0.00108226
13,40.5722,0.39765,0.32475,0.88865,0.99565,0.98651,0.99481,0.93,0.37875,0.30866,0.74002,0.00114383,0.00114383,0.00114383
14,44.4165,0.41627,0.34002,0.8925,0.99513,0.99807,0.9949,0.93156,0.38438,0.26986,0.74464,0.00120078,0.00120078,0.00120078
15,47.2498,0.39395,0.32947,0.88837,0.99144,0.99807,0.99492,0.94008,0.35962,0.24072,0.73997,0.00120491,0.00120491,0.00120491
16,49.8361,0.38347,0.30199,0.86966,0.9957,0.99615,0.99465,0.95493,0.31125,0.22863,0.71227,0.0011719,0.0011719,0.0011719
17,52.4904,0.37102,0.29422,0.86773,0.99578,0.99615,0.99448,0.95766,0.30863,0.2215,0.71249,0.00113889,0.00113889,0.00113889
18,55.3473,0.39475,0.32711,0.87402,0.99423,0.99551,0.99469,0.93966,0.3747,0.24016,0.73721,0.00110589,0.00110589,0.00110589
19,59.4856,0.37898,0.3065,0.88163,0.99567,0.99615,0.995,0.96309,0.30421,0.2144,0.70576,0.00107288,0.00107288,0.00107288
20,62.0444,0.35793,0.30312,0.86542,0.99003,0.99807,0.99486,0.94843,0.34375,0.22328,0.71067,0.00103987,0.00103987,0.00103987
21,64.7899,0.38962,0.29994,0.87318,0.98856,0.99877,0.99482,0.95539,0.33072,0.22376,0.70934,0.00100687,0.00100687,0.00100687
22,67.3871,0.37032,0.28769,0.8654,0.99857,0.99422,0.995,0.94318,0.3506,0.23459,0.71814,0.000973861,0.000973861,0.000973861
23,70.1416,0.36664,0.30551,0.86343,0.99014,0.99037,0.99461,0.9262,0.42125,0.26843,0.75251,0.000940855,0.000940855,0.000940855
24,73.9576,0.36371,0.27333,0.85993,0.99518,0.99615,0.9948,0.96058,0.29554,0.2268,0.70009,0.000907848,0.000907848,0.000907848
25,76.5532,0.36458,0.28164,0.86706,0.99423,0.99551,0.99496,0.96403,0.28328,0.21443,0.69457,0.000874842,0.000874842,0.000874842
26,79.1702,0.33747,0.27087,0.85294,0.98418,0.99807,0.99461,0.96503,0.29246,0.21745,0.69537,0.000841835,0.000841835,0.000841835
27,81.7481,0.36789,0.30326,0.8764,0.99232,0.99569,0.99482,0.96581,0.28076,0.22005,0.69403,0.000808828,0.000808828,0.000808828
28,84.5673,0.33824,0.27726,0.86606,0.99577,0.99422,0.99482,0.96758,0.27849,0.2093,0.69462,0.000775822,0.000775822,0.000775822
29,88.5968,0.35919,0.288,0.88055,0.99564,0.99422,0.99488,0.96846,0.27717,0.20522,0.69668,0.000742815,0.000742815,0.000742815
30,91.3685,0.33699,0.27042,0.8566,0.99579,0.99422,0.99494,0.96954,0.28123,0.20643,0.6975,0.000709809,0.000709809,0.000709809
31,93.9594,0.34879,0.27227,0.85471,0.99424,0.9979,0.99494,0.97302,0.28294,0.20469,0.69794,0.000676802,0.000676802,0.000676802
32,96.5152,0.34572,0.28136,0.86776,0.99764,0.99807,0.995,0.97297,0.27121,0.19783,0.69414,0.000643795,0.000643795,0.000643795
33,99.6095,0.33188,0.27094,0.85001,0.99756,0.99807,0.99498,0.97056,0.26988,0.19921,0.69453,0.000610789,0.000610789,0.000610789
34,103.374,0.3419,0.26599,0.86262,1,0.99764,0.995,0.97149,0.26913,0.19887,0.69184,0.000577782,0.000577782,0.000577782
35,106.268,0.31964,0.24968,0.8599,0.99991,1,0.995,0.9703,0.27661,0.19662,0.69657,0.000544776,0.000544776,0.000544776
36,108.933,0.33871,0.28622,0.87509,0.99983,1,0.995,0.97068,0.27393,0.19157,0.69547,0.000511769,0.000511769,0.000511769
37,111.474,0.30764,0.2546,0.85285,0.99978,1,0.995,0.97394,0.26822,0.19101,0.69172,0.000478762,0.000478762,0.000478762
38,114.664,0.31612,0.25764,0.85944,0.99955,1,0.995,0.97479,0.25479,0.18462,0.68626,0.000445756,0.000445756,0.000445756
39,118.581,0.32241,0.24516,0.84324,0.99976,1,0.995,0.97572,0.25137,0.18201,0.68503,0.000412749,0.000412749,0.000412749
40,121.309,0.32297,0.25736,0.85898,0.99976,1,0.995,0.97539,0.25853,0.17938,0.68761,0.000379743,0.000379743,0.000379743
41,125.73,0.29661,0.2253,0.82983,0.99972,1,0.995,0.97647,0.25549,0.17714,0.68539,0.000346736,0.000346736,0.000346736
42,128.54,0.28561,0.22236,0.82079,0.99972,1,0.995,0.97852,0.2453,0.17455,0.68188,0.000313729,0.000313729,0.000313729
43,132.328,0.284,0.21669,0.83744,0.9998,1,0.995,0.97665,0.24309,0.17556,0.6843,0.000280723,0.000280723,0.000280723
44,134.855,0.28767,0.20855,0.81974,0.99775,1,0.995,0.97852,0.23644,0.17242,0.68142,0.000247716,0.000247716,0.000247716
45,137.316,0.28984,0.20502,0.80948,0.99958,0.99807,0.995,0.98005,0.23611,0.17301,0.68014,0.00021471,0.00021471,0.00021471
46,139.882,0.28073,0.20583,0.82402,1,0.99992,0.995,0.97897,0.23733,0.17011,0.67963,0.000181703,0.000181703,0.000181703
47,142.422,0.27526,0.19729,0.8108,0.99993,1,0.995,0.97955,0.23588,0.16712,0.6798,0.000148696,0.000148696,0.000148696
48,146.728,0.25736,0.19084,0.8134,0.99988,1,0.995,0.97999,0.2329,0.16353,0.67966,0.00011569,0.00011569,0.00011569
49,149.27,0.27832,0.19342,0.82196,0.99987,1,0.995,0.98075,0.23229,0.16285,0.67937,8.26832e-05,8.26832e-05,8.26832e-05
50,151.994,0.27503,0.1987,0.81982,0.99989,1,0.995,0.97962,0.23174,0.16236,0.67886,4.96766e-05,4.96766e-05,4.96766e-05
