epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4579,1.88547,2.84206,1.70982,0.69478,0.52828,0.64427,0.35596,1.3471,1.82036,1.35403,0.000554013,0.000554013,0.000554013
2,170.022,1.4558,2.17793,1.40606,0.65539,0.72012,0.77203,0.47631,1.22679,1.71549,1.28708,0.00108771,0.00108771,0.00108771
3,250.056,1.3859,2.16244,1.34672,0.77482,0.64143,0.7824,0.49903,1.26938,1.78339,1.35449,0.0015994,0.0015994,0.0015994
4,330.792,1.37407,1.83115,1.39162,0.53202,0.70518,0.56686,0.31895,1.3189,1.85561,1.36948,0.00156798,0.00156798,0.00156798
5,411.91,1.34395,1.8301,1.33409,0.77463,0.72809,0.83784,0.47605,1.36501,1.66295,1.37928,0.00153497,0.00153497,0.00153497
6,486.75,1.27638,1.78418,1.31725,0.77858,0.70747,0.79705,0.49268,1.171,1.65919,1.26886,0.00150197,0.00150197,0.00150197
7,2042.87,1.23052,1.62194,1.2814,0.80701,0.7988,0.88803,0.58546,1.10324,1.27184,1.19804,0.00146896,0.00146896,0.00146896
8,2142.2,1.18513,1.59567,1.24109,0.8098,0.82267,0.90551,0.59872,1.08369,1.2563,1.20228,0.00143595,0.00143595,0.00143595
9,2226.35,1.18625,1.41925,1.23317,0.78076,0.85129,0.86255,0.56649,1.10603,1.26215,1.22211,0.00140295,0.00140295,0.00140295
10,2308.7,1.15729,1.6547,1.23566,0.83398,0.84058,0.90495,0.60198,1.09349,1.15789,1.18802,0.00136994,0.00136994,0.00136994
11,2399.49,1.1962,1.48805,1.23417,0.80692,0.82669,0.90337,0.61131,1.05547,1.18794,1.20516,0.00133693,0.00133693,0.00133693
12,2477.39,1.17002,1.44419,1.2297,0.85009,0.90837,0.90426,0.61672,1.02375,1.24579,1.18727,0.00130393,0.00130393,0.00130393
13,2560.56,1.13071,1.38444,1.1914,0.85747,0.81175,0.90873,0.62948,1.0198,1.15793,1.1446,0.00127092,0.00127092,0.00127092
14,2641.94,1.09788,1.32089,1.17641,0.81224,0.87895,0.8953,0.6097,1.1046,1.18959,1.23062,0.00123791,0.00123791,0.00123791
15,2744.98,1.12175,1.21303,1.19377,0.90178,0.90531,0.9617,0.68111,1.00541,0.97716,1.15255,0.00120491,0.00120491,0.00120491
16,2831.97,1.10509,1.28098,1.18931,0.83443,0.91862,0.94949,0.66297,0.99398,0.92884,1.15345,0.0011719,0.0011719,0.0011719
17,2916.31,1.08639,1.177,1.19153,0.82216,0.83806,0.91901,0.612,1.09727,1.06507,1.20616,0.00113889,0.00113889,0.00113889
18,3000.81,1.10958,1.24712,1.18089,0.89369,0.93772,0.95721,0.66483,1.01302,0.94196,1.15899,0.00110589,0.00110589,0.00110589
19,3088.67,1.0723,1.19856,1.1768,0.80001,0.89645,0.90153,0.61139,1.03404,1.04122,1.15878,0.00107288,0.00107288,0.00107288
20,3175.47,1.07956,1.19617,1.14526,0.93841,0.93426,0.98212,0.70938,0.94762,0.87633,1.10494,0.00103987,0.00103987,0.00103987
21,3269.55,1.05159,1.04771,1.14502,0.96648,0.95618,0.98686,0.69649,1.02498,0.83521,1.15097,0.00100687,0.00100687,0.00100687
22,3354.84,1.05677,1.09284,1.15866,0.94455,0.94622,0.97628,0.6652,1.02194,0.87929,1.17032,0.000973861,0.000973861,0.000973861
23,3433.72,1.02882,0.99346,1.14354,0.82365,0.88389,0.91876,0.64271,1.02452,0.96801,1.15468,0.000940855,0.000940855,0.000940855
24,3521.27,1.02214,1.03363,1.12257,0.90628,0.90532,0.95782,0.68191,1.00091,0.87355,1.18344,0.000907848,0.000907848,0.000907848
25,7806.94,1.0326,0.99674,1.12922,0.91922,0.94072,0.97524,0.73023,0.91617,0.78357,1.09675,0.000874842,0.000874842,0.000874842
26,7884.58,1.03051,1.01943,1.15362,0.92837,0.95523,0.98041,0.72061,0.94176,0.77142,1.10911,0.000841835,0.000841835,0.000841835
27,7957.66,1.02569,1.03652,1.13574,0.91728,0.9512,0.97749,0.69868,0.99294,0.82168,1.15444,0.000808828,0.000808828,0.000808828
28,8025.89,1.00662,0.9234,1.11997,0.8524,0.92611,0.95792,0.66799,0.96262,0.84199,1.12585,0.000775822,0.000775822,0.000775822
29,8105.13,1.00303,0.87309,1.1259,0.94662,0.93609,0.98009,0.72265,0.93116,0.71697,1.11624,0.000742815,0.000742815,0.000742815
30,8174.3,1.01567,0.9169,1.13672,0.91564,0.94049,0.96179,0.66475,1.04168,0.77228,1.14403,0.000709809,0.000709809,0.000709809
31,8243.41,0.99123,0.90544,1.12896,0.90954,0.94136,0.95334,0.68917,0.96143,0.77862,1.15394,0.000676802,0.000676802,0.000676802
32,8314.84,0.97395,0.85011,1.11375,0.91577,0.95291,0.97354,0.72573,0.91097,0.74427,1.09401,0.000643795,0.000643795,0.000643795
33,8389.81,0.94366,0.8686,1.0932,0.97193,0.9657,0.98875,0.74822,0.90513,0.69407,1.07887,0.000610789,0.000610789,0.000610789
34,8464.23,0.96308,0.9047,1.10835,0.9604,0.94203,0.97864,0.73578,0.88474,0.69536,1.07758,0.000577782,0.000577782,0.000577782
35,8540.07,0.91658,0.88007,1.0796,0.93678,0.974,0.97132,0.73437,0.8857,0.72104,1.08626,0.000544776,0.000544776,0.000544776
36,8618.65,0.91603,0.87305,1.08325,0.9207,0.93666,0.97915,0.72328,0.90474,0.72392,1.09454,0.000511769,0.000511769,0.000511769
37,8686.32,0.96401,0.8777,1.10258,0.91617,0.9797,0.97255,0.71871,0.89252,0.75202,1.12717,0.000478762,0.000478762,0.000478762
38,8754.3,0.91345,0.83828,1.07826,0.93501,0.96014,0.98499,0.74246,0.87199,0.68436,1.0788,0.000445756,0.000445756,0.000445756
39,8821.89,0.91228,0.85713,1.07708,0.94077,0.965,0.98522,0.73981,0.8706,0.70324,1.08239,0.000412749,0.000412749,0.000412749
