epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.267,0.40043,0.57279,0.92027,0.98365,0.99483,0.99081,0.94266,0.31708,0.32138,0.84715,0.000554193,0.000554193,0.000554193
2,204.901,0.41532,0.40842,0.92944,0.98379,0.98824,0.99079,0.93474,0.3543,0.38748,0.85535,0.00108788,0.00108788,0.00108788
3,309.334,0.42867,0.42258,0.93573,0.98829,0.99257,0.98968,0.9321,0.34037,0.33301,0.85774,0.00159957,0.00159957,0.00159957
4,414.655,0.43427,0.41207,0.9355,0.98565,0.99012,0.99137,0.93963,0.35411,0.35614,0.86163,0.00156798,0.00156798,0.00156798
5,511.199,0.44313,0.58694,0.93449,0.97765,0.99294,0.99043,0.92969,0.36285,0.32915,0.8578,0.00153497,0.00153497,0.00153497
6,603.684,0.45022,0.66381,0.93249,0.97719,0.98748,0.98976,0.92766,0.37256,0.3733,0.86766,0.00150197,0.00150197,0.00150197
7,695.119,0.49621,0.58568,0.94802,0.94893,0.98354,0.98599,0.9197,0.36766,0.43937,0.8456,0.00146896,0.00146896,0.00146896
8,781.724,0.45381,0.47385,0.93695,0.98511,0.99436,0.99188,0.93716,0.33739,0.34551,0.83898,0.00143595,0.00143595,0.00143595
9,868.137,0.42765,0.43185,0.93458,0.99024,0.99389,0.99144,0.94033,0.32383,0.33104,0.84952,0.00140295,0.00140295,0.00140295
10,953.543,0.41735,0.39798,0.92986,0.98505,0.99209,0.98852,0.94869,0.31045,0.33032,0.84511,0.00136994,0.00136994,0.00136994
11,1037.52,0.41133,0.37774,0.92923,0.97187,0.99118,0.98914,0.93204,0.34594,0.35104,0.85176,0.00133693,0.00133693,0.00133693
12,1121.65,0.40946,0.38913,0.91617,0.98506,0.99216,0.99132,0.9482,0.30853,0.32186,0.84487,0.00130393,0.00130393,0.00130393
13,1214.31,0.39208,0.65639,0.91355,0.98475,0.99341,0.99101,0.94242,0.31921,0.30681,0.84443,0.00127092,0.00127092,0.00127092
14,1302.86,0.40012,0.59963,0.91095,0.98893,0.99389,0.99259,0.94404,0.3216,0.55799,0.84034,0.00123791,0.00123791,0.00123791
15,1390.13,0.39513,0.4036,0.91491,0.98986,0.992,0.99245,0.9593,0.28337,0.32491,0.83051,0.00120491,0.00120491,0.00120491
16,1477.72,0.38832,0.55811,0.91072,0.98701,0.992,0.99319,0.94974,0.3221,0.38222,0.84345,0.0011719,0.0011719,0.0011719
17,1566.28,0.38615,0.47984,0.9048,0.97637,0.99247,0.99336,0.94533,0.33076,0.36184,0.84881,0.00113889,0.00113889,0.00113889
18,1653.27,0.40024,0.39815,0.931,0.98423,0.9953,0.99079,0.95799,0.2961,0.30189,0.84371,0.00110589,0.00110589,0.00110589
19,1737.52,0.38173,0.36332,0.91406,0.98331,0.99764,0.99166,0.94863,0.31599,0.29905,0.84761,0.00107288,0.00107288,0.00107288
20,1823.31,0.37816,0.35451,0.90993,0.9864,0.99436,0.99235,0.95964,0.28513,0.28414,0.83519,0.00103987,0.00103987,0.00103987
21,1906.88,0.38025,0.4888,0.91954,0.97504,0.99204,0.98953,0.94516,0.29939,0.34374,0.84348,0.00100687,0.00100687,0.00100687
22,1993.69,0.36884,0.3632,0.90599,0.98762,0.99294,0.99206,0.95598,0.28361,0.27902,0.83387,0.000973861,0.000973861,0.000973861
23,2086.03,0.36272,0.3264,0.89729,0.98924,0.99434,0.99163,0.96166,0.28042,0.26477,0.83462,0.000940855,0.000940855,0.000940855
24,2174.47,0.38188,0.3354,0.91102,0.95419,0.9797,0.98375,0.92587,0.34109,0.34486,0.84989,0.000907848,0.000907848,0.000907848
25,2261.14,0.37607,0.35674,0.91808,0.98934,0.99294,0.99234,0.95524,0.29687,0.28416,0.83801,0.000874842,0.000874842,0.000874842
26,2349.93,0.36279,0.33414,0.90687,0.98532,0.9873,0.992,0.95765,0.29893,0.28222,0.84411,0.000841835,0.000841835,0.000841835
27,2437.52,0.36814,0.43389,0.9092,0.94931,0.97883,0.98708,0.93518,0.33552,0.38133,0.85795,0.000808828,0.000808828,0.000808828
28,2528.2,0.3703,0.34532,0.91057,0.98685,0.98918,0.99243,0.95842,0.27817,0.27667,0.83575,0.000775822,0.000775822,0.000775822
29,2616.25,0.36158,0.50947,0.90154,0.9786,0.98925,0.99123,0.95372,0.28577,0.31703,0.8419,0.000742815,0.000742815,0.000742815
30,2704.75,0.35477,0.43498,0.89823,0.98635,0.99341,0.99127,0.96244,0.27458,0.29061,0.83508,0.000709809,0.000709809,0.000709809
31,2792.34,0.33696,0.31521,0.89215,0.9874,0.99516,0.99162,0.96461,0.27228,0.26277,0.83191,0.000676802,0.000676802,0.000676802
32,2879.08,0.3507,0.32076,0.89688,0.98504,0.99483,0.99118,0.96563,0.26166,0.25336,0.8293,0.000643795,0.000643795,0.000643795
33,2973.74,0.34596,0.45333,0.90261,0.98972,0.99608,0.99241,0.95981,0.27798,0.30246,0.83741,0.000610789,0.000610789,0.000610789
34,3068.02,0.35897,0.44239,0.9033,0.99089,0.99436,0.9926,0.96094,0.27959,0.27743,0.8342,0.000577782,0.000577782,0.000577782
35,3160.42,0.33498,0.31942,0.8921,0.98972,0.99612,0.99229,0.9597,0.27591,0.26048,0.83599,0.000544776,0.000544776,0.000544776
36,3252.94,0.34211,0.3041,0.89826,0.98969,0.99859,0.99227,0.96722,0.26923,0.23696,0.83135,0.000511769,0.000511769,0.000511769
37,3344.49,0.33343,0.29515,0.89587,0.99207,0.99483,0.99268,0.96739,0.27707,0.2288,0.83074,0.000478762,0.000478762,0.000478762
38,3437.71,0.33188,0.47283,0.88441,0.99317,0.99671,0.992,0.97133,0.25742,0.24226,0.82646,0.000445756,0.000445756,0.000445756
