epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0255,0.78542,1.68305,1.12984,0.78029,0.89695,0.89599,0.74907,0.62919,1.05151,1.03619,0.00054409,0.00054409,0.00054409
2,57.9154,0.50146,0.73747,0.94885,0.93077,0.88052,0.95376,0.8418,0.53232,0.80641,0.91341,0.00107798,0.00107798,0.00107798
3,85.5934,0.47314,0.65131,0.92325,0.95023,0.93036,0.97554,0.83289,0.58255,0.64941,0.92268,0.00158987,0.00158987,0.00158987
4,112.556,0.4622,0.57011,0.91488,0.9607,0.96184,0.98555,0.89922,0.4166,0.50208,0.87068,0.00156798,0.00156798,0.00156798
5,139.189,0.44918,0.52636,0.91202,0.95368,0.90834,0.96845,0.8641,0.51124,0.83493,0.92147,0.00153497,0.00153497,0.00153497
6,166.153,0.41755,0.48065,0.89926,0.98224,0.96311,0.9876,0.92303,0.37056,0.43489,0.86317,0.00150197,0.00150197,0.00150197
7,193.532,0.41541,0.48015,0.90375,0.97859,0.97024,0.98903,0.93341,0.36296,0.39398,0.84216,0.00146896,0.00146896,0.00146896
8,220.461,0.40853,0.44035,0.89202,0.97483,0.96971,0.98932,0.93613,0.35011,0.39458,0.85219,0.00143595,0.00143595,0.00143595
9,247.452,0.39227,0.40906,0.88573,0.86643,0.79418,0.89957,0.78863,0.55632,1.04366,0.97975,0.00140295,0.00140295,0.00140295
10,274.525,0.37747,0.39101,0.88371,0.97477,0.96566,0.98883,0.92786,0.39677,0.4135,0.85964,0.00136994,0.00136994,0.00136994
11,302.23,0.37496,0.3835,0.88553,0.98241,0.97567,0.98822,0.93003,0.3571,0.35775,0.84542,0.00133693,0.00133693,0.00133693
12,329.09,0.3792,0.3823,0.89003,0.9782,0.96302,0.98929,0.94167,0.35123,0.35754,0.85267,0.00130393,0.00130393,0.00130393
13,356.538,0.36598,0.36275,0.8828,0.97755,0.96446,0.98858,0.94799,0.31718,0.44921,0.84327,0.00127092,0.00127092,0.00127092
14,383.112,0.35447,0.36179,0.88021,0.98105,0.96995,0.99048,0.94755,0.3184,0.35476,0.85216,0.00123791,0.00123791,0.00123791
15,410.126,0.35763,0.34781,0.87579,0.98126,0.97615,0.9907,0.94924,0.32918,0.32116,0.83681,0.00120491,0.00120491,0.00120491
16,436.99,0.35337,0.34432,0.87387,0.98044,0.96923,0.99008,0.9491,0.33239,0.35122,0.83794,0.0011719,0.0011719,0.0011719
17,463.863,0.35681,0.34472,0.87921,0.96777,0.94896,0.98667,0.94208,0.3237,0.4171,0.85649,0.00113889,0.00113889,0.00113889
18,490.539,0.34885,0.33168,0.87475,0.98347,0.97883,0.98975,0.95715,0.29464,0.29908,0.83272,0.00110589,0.00110589,0.00110589
19,517.471,0.35251,0.3292,0.8794,0.9832,0.97724,0.99096,0.95613,0.30457,0.30208,0.84682,0.00107288,0.00107288,0.00107288
20,544.306,0.34245,0.3208,0.87351,0.98647,0.97373,0.99219,0.96191,0.28702,0.30177,0.83348,0.00103987,0.00103987,0.00103987
21,571.372,0.35554,0.32374,0.87556,0.98335,0.97162,0.99034,0.94834,0.31317,0.31372,0.84874,0.00100687,0.00100687,0.00100687
22,598.424,0.33475,0.30726,0.86871,0.98953,0.96915,0.99147,0.95116,0.32884,0.3152,0.85739,0.000973861,0.000973861,0.000973861
23,624.807,0.32767,0.30173,0.8658,0.98786,0.97073,0.99,0.9591,0.28871,0.2831,0.84707,0.000940855,0.000940855,0.000940855
24,651.622,0.32068,0.29711,0.86226,0.98829,0.97448,0.99132,0.95996,0.2911,0.28624,0.83582,0.000907848,0.000907848,0.000907848
25,679.382,0.32673,0.30892,0.86732,0.94861,0.92443,0.97998,0.90773,0.41075,0.52642,0.89442,0.000874842,0.000874842,0.000874842
26,706.637,0.32575,0.29676,0.8654,0.99007,0.97514,0.99217,0.96444,0.28785,0.26767,0.84463,0.000841835,0.000841835,0.000841835
27,733.748,0.3182,0.28851,0.86838,0.98462,0.9774,0.99273,0.96908,0.27655,0.25781,0.83143,0.000808828,0.000808828,0.000808828
28,760.35,0.31701,0.28443,0.8617,0.98863,0.97469,0.99255,0.95672,0.31581,0.29279,0.84233,0.000775822,0.000775822,0.000775822
29,786.882,0.32209,0.28844,0.86762,0.98635,0.98199,0.99194,0.96818,0.26926,0.24338,0.837,0.000742815,0.000742815,0.000742815
30,813.963,0.31326,0.28682,0.86529,0.9864,0.97877,0.99168,0.96909,0.2695,0.25588,0.84028,0.000709809,0.000709809,0.000709809
31,841.252,0.30577,0.27206,0.85866,0.98425,0.98356,0.99288,0.96809,0.25735,0.25214,0.82682,0.000676802,0.000676802,0.000676802
32,867.949,0.29951,0.26607,0.85797,0.98507,0.97806,0.99221,0.96824,0.25476,0.24603,0.83755,0.000643795,0.000643795,0.000643795
33,894.416,0.30654,0.27188,0.86649,0.98843,0.97832,0.99247,0.96869,0.25705,0.23608,0.82646,0.000610789,0.000610789,0.000610789
34,921.182,0.28714,0.26791,0.85364,0.9801,0.97479,0.99242,0.9647,0.28012,0.27095,0.84898,0.000577782,0.000577782,0.000577782
35,948.19,0.29037,0.25655,0.85639,0.98052,0.9783,0.99243,0.96387,0.27631,0.26976,0.8513,0.000544776,0.000544776,0.000544776
36,974.853,0.30106,0.25993,0.85871,0.98894,0.98105,0.99249,0.97315,0.24751,0.21783,0.83593,0.000511769,0.000511769,0.000511769
37,1001.61,0.28659,0.2511,0.85555,0.98844,0.97857,0.99365,0.97115,0.24335,0.23629,0.83382,0.000478762,0.000478762,0.000478762
38,1028.07,0.28799,0.25364,0.85382,0.99058,0.97849,0.9934,0.97308,0.2436,0.2227,0.82118,0.000445756,0.000445756,0.000445756
39,1054.75,0.28154,0.23802,0.84914,0.98743,0.98378,0.99215,0.97372,0.24945,0.22276,0.8305,0.000412749,0.000412749,0.000412749
40,1081.61,0.28197,0.24278,0.85421,0.98896,0.98231,0.99352,0.97411,0.24834,0.21639,0.83822,0.000379743,0.000379743,0.000379743
41,1110.91,0.24683,0.21916,0.82366,0.98962,0.97802,0.99292,0.97003,0.26031,0.22997,0.83596,0.000346736,0.000346736,0.000346736
42,1137.82,0.24679,0.20723,0.81621,0.98893,0.98009,0.9937,0.9739,0.24313,0.22368,0.83042,0.000313729,0.000313729,0.000313729
43,1163.78,0.23657,0.20286,0.81376,0.98999,0.97877,0.99339,0.97486,0.24572,0.22263,0.82496,0.000280723,0.000280723,0.000280723
44,1189.72,0.23561,0.19707,0.81512,0.98647,0.98402,0.99335,0.97559,0.23884,0.21809,0.80194,0.000247716,0.000247716,0.000247716
45,1215.52,0.23098,0.18894,0.81455,0.9898,0.97973,0.99353,0.97771,0.22721,0.20873,0.82608,0.00021471,0.00021471,0.00021471
46,1241.97,0.22872,0.19174,0.81841,0.98987,0.9783,0.99382,0.97657,0.22673,0.21172,0.83315,0.000181703,0.000181703,0.000181703
47,1268.23,0.22699,0.18692,0.81282,0.98849,0.98308,0.99319,0.97721,0.22832,0.20095,0.823,0.000148696,0.000148696,0.000148696
48,1294.48,0.22408,0.18438,0.80869,0.98592,0.98513,0.99347,0.97584,0.22065,0.19528,0.81327,0.00011569,0.00011569,0.00011569
49,1320.94,0.22139,0.1811,0.80819,0.99037,0.98144,0.9938,0.97895,0.21586,0.19105,0.81609,8.26832e-05,8.26832e-05,8.26832e-05
50,1346.76,0.21405,0.17401,0.80816,0.99044,0.98211,0.99379,0.97911,0.21351,0.18763,0.81735,4.96766e-05,4.96766e-05,4.96766e-05
