epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5692,2.20414,3.36195,1.79431,0.02337,0.53553,0.189,0.10069,1.6826,3.46409,1.39513,0.000542437,0.000542437,0.000542437
2,40.1286,1.67964,3.03455,1.4056,0.03619,0.62661,0.44341,0.30895,1.40297,3.12166,1.18849,0.00107636,0.00107636,0.00107636
3,60.0921,1.73774,2.81197,1.43099,0.03619,0.62661,0.44341,0.30895,1.40297,3.12166,1.18849,0.00158828,0.00158828,0.00158828
4,80.6321,1.80081,2.05333,1.4055,0.75028,0.68863,0.72036,0.3587,1.93577,2.55286,1.445,0.00156798,0.00156798,0.00156798
5,101.084,1.72147,2.58258,1.32673,0.46585,0.6164,0.57598,0.32589,1.51857,2.40552,1.23841,0.00153497,0.00153497,0.00153497
6,119.689,1.65289,1.9426,1.30813,0.46585,0.6164,0.57598,0.32589,1.51857,2.40552,1.23841,0.00150197,0.00150197,0.00150197
7,138.369,1.57141,2.49811,1.26442,0.48378,0.73708,0.6546,0.38904,1.4884,1.63183,1.23149,0.00146896,0.00146896,0.00146896
8,156.658,1.46099,2.35786,1.24395,0.61357,0.70026,0.69113,0.4197,1.37253,1.45261,1.17683,0.00143595,0.00143595,0.00143595
9,175.03,1.49801,1.65792,1.22981,0.61357,0.70026,0.69113,0.4197,1.37253,1.45261,1.17683,0.00140295,0.00140295,0.00140295
10,194.016,1.48267,1.71592,1.22325,0.68594,0.68338,0.69465,0.41312,1.31771,1.48947,1.15795,0.00136994,0.00136994,0.00136994
11,212.517,1.45938,1.66326,1.19806,0.63128,0.72416,0.738,0.46693,1.26308,1.43159,1.13834,0.00133693,0.00133693,0.00133693
12,230.941,1.33226,1.5274,1.16253,0.63128,0.72416,0.738,0.46693,1.26308,1.43159,1.13834,0.00130393,0.00130393,0.00130393
13,249.137,1.38982,1.5321,1.22169,0.77077,0.79328,0.86186,0.56903,1.28421,1.467,1.13485,0.00127092,0.00127092,0.00127092
14,268.273,1.38077,1.63451,1.22013,0.83787,0.80196,0.88451,0.60133,1.24584,1.2568,1.13319,0.00123791,0.00123791,0.00123791
15,287.371,1.31387,1.45712,1.19082,0.83787,0.80196,0.88451,0.60133,1.24584,1.2568,1.13319,0.00120491,0.00120491,0.00120491
16,305.951,1.34017,1.47949,1.18128,0.81104,0.81721,0.86178,0.54096,1.29923,1.20315,1.15397,0.0011719,0.0011719,0.0011719
17,325.194,1.32092,1.28937,1.18422,0.86727,0.84625,0.91421,0.61929,1.19298,1.06531,1.12286,0.00113889,0.00113889,0.00113889
18,344.117,1.25641,1.33016,1.17358,0.86727,0.84625,0.91421,0.61929,1.19298,1.06531,1.12286,0.00110589,0.00110589,0.00110589
19,362.782,1.27374,1.23958,1.17314,0.87575,0.84606,0.89617,0.62347,1.1883,1.09306,1.12036,0.00107288,0.00107288,0.00107288
20,381.202,1.30032,1.21687,1.1351,0.88679,0.85689,0.91988,0.63523,1.17794,1.02714,1.0953,0.00103987,0.00103987,0.00103987
21,400.036,1.29383,1.1725,1.16434,0.88679,0.85689,0.91988,0.63523,1.17794,1.02714,1.0953,0.00100687,0.00100687,0.00100687
22,418.882,1.26712,1.14245,1.12932,0.89205,0.86563,0.94298,0.67501,1.12425,0.9415,1.07263,0.000973861,0.000973861,0.000973861
23,436.982,1.23775,1.15216,1.12286,0.89616,0.88303,0.95311,0.70026,1.08522,0.91139,1.05456,0.000940855,0.000940855,0.000940855
24,455.362,1.17203,1.14939,1.11917,0.89616,0.88303,0.95311,0.70026,1.08522,0.91139,1.05456,0.000907848,0.000907848,0.000907848
25,473.481,1.1989,1.1546,1.11406,0.8754,0.91021,0.95528,0.70582,1.09544,0.8976,1.04316,0.000874842,0.000874842,0.000874842
26,492.688,1.22376,1.08795,1.11818,0.88654,0.92183,0.9543,0.67541,1.19776,0.92773,1.06678,0.000841835,0.000841835,0.000841835
27,511.343,1.15591,2.31939,1.12932,0.88654,0.92183,0.9543,0.67541,1.19776,0.92773,1.06678,0.000808828,0.000808828,0.000808828
28,529.767,1.19251,1.16016,1.11678,0.91421,0.88451,0.9559,0.66158,1.20255,0.95064,1.06919,0.000775822,0.000775822,0.000775822
29,548.139,1.19442,1.92133,1.11067,0.89295,0.86297,0.94143,0.66467,1.13658,1.02683,1.05942,0.000742815,0.000742815,0.000742815
