epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4579,1.88547,2.84206,1.70982,0.69478,0.52828,0.64427,0.35596,1.3471,1.82036,1.35403,0.000554013,0.000554013,0.000554013
2,170.022,1.4558,2.17793,1.40606,0.65539,0.72012,0.77203,0.47631,1.22679,1.71549,1.28708,0.00108771,0.00108771,0.00108771
3,250.056,1.3859,2.16244,1.34672,0.77482,0.64143,0.7824,0.49903,1.26938,1.78339,1.35449,0.0015994,0.0015994,0.0015994
4,330.792,1.37407,1.83115,1.39162,0.53202,0.70518,0.56686,0.31895,1.3189,1.85561,1.36948,0.00156798,0.00156798,0.00156798
5,411.91,1.34395,1.8301,1.33409,0.77463,0.72809,0.83784,0.47605,1.36501,1.66295,1.37928,0.00153497,0.00153497,0.00153497
6,486.75,1.27638,1.78418,1.31725,0.77858,0.70747,0.79705,0.49268,1.171,1.65919,1.26886,0.00150197,0.00150197,0.00150197
7,2042.87,1.23052,1.62194,1.2814,0.80701,0.7988,0.88803,0.58546,1.10324,1.27184,1.19804,0.00146896,0.00146896,0.00146896
8,2142.2,1.18513,1.59567,1.24109,0.8098,0.82267,0.90551,0.59872,1.08369,1.2563,1.20228,0.00143595,0.00143595,0.00143595
9,2226.35,1.18625,1.41925,1.23317,0.78076,0.85129,0.86255,0.56649,1.10603,1.26215,1.22211,0.00140295,0.00140295,0.00140295
10,2308.7,1.15729,1.6547,1.23566,0.83398,0.84058,0.90495,0.60198,1.09349,1.15789,1.18802,0.00136994,0.00136994,0.00136994
11,2399.49,1.1962,1.48805,1.23417,0.80692,0.82669,0.90337,0.61131,1.05547,1.18794,1.20516,0.00133693,0.00133693,0.00133693
12,2477.39,1.17002,1.44419,1.2297,0.85009,0.90837,0.90426,0.61672,1.02375,1.24579,1.18727,0.00130393,0.00130393,0.00130393
13,2560.56,1.13071,1.38444,1.1914,0.85747,0.81175,0.90873,0.62948,1.0198,1.15793,1.1446,0.00127092,0.00127092,0.00127092
14,2641.94,1.09788,1.32089,1.17641,0.81224,0.87895,0.8953,0.6097,1.1046,1.18959,1.23062,0.00123791,0.00123791,0.00123791
15,2744.98,1.12175,1.21303,1.19377,0.90178,0.90531,0.9617,0.68111,1.00541,0.97716,1.15255,0.00120491,0.00120491,0.00120491
